 | Tarsun Enterprise logo | click=false | en=true | [42,198][126,282]
Tarsun Enterprise |  | click=false | en=true | [147,181][556,250]
manager |  | click=false | en=true | [147,250][556,298]
 | More | click=true | en=true | [873,157][1038,322]
⋯ |  | click=false | en=true | [873,205][1038,274]
Updated just now |  | click=false | en=true | [126,357][414,405]
Order queue |  | click=false | en=true | [42,449][1038,518]
 | Order queue | click=true | en=true | [42,540][540,706]
Order queue |  | click=false | en=true | [175,589][407,647]
 | Drafts | click=true | en=true | [540,540][1038,706]
Drafts |  | click=false | en=true | [731,589][846,647]
 | 7 days | click=true | en=true | [47,734][260,899]
7 days |  | click=false | en=true | [91,787][214,845]
 | 30 days | click=true | en=true | [265,734][501,899]
30 days |  | click=false | en=true | [309,787][456,845]
 | 90 days | click=true | en=true | [506,734][743,899]
90 days |  | click=false | en=true | [550,787][697,845]
 | Export CSV | click=true | en=true | [42,926][345,1092]
Export CSV |  | click=false | en=true | [86,979][300,1037]
 | Reject | click=true | en=true | [42,1123][1038,165]
Reject |  | click=false | en=true | [480,1123][599,111]
SO-0911 |  | click=false | en=true | [42,1123][1038,298]
Asked rate |  | click=false | en=true | [42,1123][1038,367]
₹45.54 | 45 rupees 54 paise | click=false | en=true | [42,1123][1038,457]
 | Approve | click=true | en=true | [42,1123][1038,643]
Approve |  | click=false | en=true | [461,1123][618,589]
 | Reject | click=true | en=true | [42,1123][1038,830]
Reject |  | click=false | en=true | [480,1123][599,775]
SO-0911 |  | click=false | en=true | [42,1123][1038,963]
Over credit limit |  | click=false | en=true | [42,1123][1038,1032]
₹1,375.00 | 1375 rupees | click=false | en=true | [42,1123][1038,1122]
 | Approve | click=true | en=true | [42,1143][1038,1309]
Approve |  | click=false | en=true | [461,1196][618,1254]
 | Reject | click=true | en=true | [42,1329][1038,1494]
Reject |  | click=false | en=true | [480,1382][599,1440]
SO-0898 |  | click=false | en=true | [42,1569][1038,1627]
Asked rate |  | click=false | en=true | [42,1648][1038,1696]
₹20.14 | 20 rupees 14 paise | click=false | en=true | [42,1717][1038,1786]
 | Approve | click=true | en=true | [42,1807][1038,1973]
Approve |  | click=false | en=true | [461,1860][618,1918]
 | Reject | click=true | en=true | [42,1993][1038,2158]
Reject |  | click=false | en=true | [480,2046][599,2104]
SO-0887 |  | click=false | en=true | [42,2233][1038,2171]
Over credit limit |  | click=false | en=true | [42,2312][1038,2171]
₹854.00 | 854 rupees | click=false | en=true | [42,2381][1038,2171]
 | Today | click=true | en=true | [0,2172][270,2337]
Today |  | click=false | en=true | [85,2230][185,2278]
 | Orders | click=true | en=true | [270,2172][540,2337]
Orders |  | click=false | en=true | [349,2230][461,2278]
 | Fulfilment | click=true | en=true | [540,2172][810,2337]
Fulfilment |  | click=false | en=true | [592,2230][758,2278]
 | Billing | click=true | en=true | [810,2172][1080,2337]
Billing |  | click=false | en=true | [893,2230][996,2278]
