 | Tarsun Enterprise logo | click=false | en=true | [42,198][126,282]
Tarsun Enterprise |  | click=false | en=true | [147,181][556,250]
manager |  | click=false | en=true | [147,250][556,298]
 | More | click=true | en=true | [873,157][1038,322]
⋯ |  | click=false | en=true | [873,205][1038,274]
Updated just now |  | click=false | en=true | [126,357][414,405]
Order queue |  | click=false | en=true | [42,449][1038,518]
 | Order queue | click=true | en=true | [42,540][540,706]
Order queue |  | click=false | en=true | [175,589][407,647]
 | Drafts | click=true | en=true | [540,540][1038,706]
Drafts |  | click=false | en=true | [731,589][846,647]
 | 7 days | click=true | en=true | [47,734][260,899]
7 days |  | click=false | en=true | [91,787][214,845]
 | 30 days | click=true | en=true | [265,734][501,899]
30 days |  | click=false | en=true | [309,787][456,845]
 | 90 days | click=true | en=true | [506,734][743,899]
90 days |  | click=false | en=true | [550,787][697,845]
 | Export CSV | click=true | en=true | [42,926][345,1092]
Export CSV |  | click=false | en=true | [86,979][300,1037]
j / k move · Enter open · 1 confirm · 2 cancel |  | click=false | en=true | [42,1123][1038,31]
Waiting for a decision |  | click=false | en=true | [42,1123][543,184]
Om Sai Provision Store |  | click=false | en=true | [42,1123][1038,317]
Asked rate |  | click=false | en=true | [42,1123][1038,386]
₹39.58 | 39 rupees 58 paise | click=false | en=true | [42,1123][1038,476]
 | Approve | click=true | en=true | [42,1123][1038,662]
Approve |  | click=false | en=true | [461,1123][618,608]
 | Reject | click=true | en=true | [42,1123][1038,848]
Reject |  | click=false | en=true | [480,1123][599,794]
SO-0911 |  | click=false | en=true | [42,1123][1038,981]
Asked rate |  | click=false | en=true | [42,1123][1038,1050]
₹45.54 | 45 rupees 54 paise | click=false | en=true | [42,1123][1038,1140]
 | Approve | click=true | en=true | [42,1161][1038,1326]
Approve |  | click=false | en=true | [461,1214][618,1272]
 | Reject | click=true | en=true | [42,1347][1038,1513]
Reject |  | click=false | en=true | [480,1400][599,1458]
SO-0911 |  | click=false | en=true | [42,1588][1038,1646]
Over credit limit |  | click=false | en=true | [42,1667][1038,1715]
₹1,375.00 | 1375 rupees | click=false | en=true | [42,1736][1038,1805]
 | Approve | click=true | en=true | [42,1826][1038,1992]
Approve |  | click=false | en=true | [461,1879][618,1937]
 | Reject | click=true | en=true | [42,2012][1038,2171]
Reject |  | click=false | en=true | [480,2065][599,2123]
SO-0898 |  | click=false | en=true | [42,2252][1038,2171]
Asked rate |  | click=false | en=true | [42,2331][1038,2171]
 | Today | click=true | en=true | [0,2172][270,2337]
Today |  | click=false | en=true | [85,2230][185,2278]
 | Orders | click=true | en=true | [270,2172][540,2337]
Orders |  | click=false | en=true | [349,2230][461,2278]
 | Fulfilment | click=true | en=true | [540,2172][810,2337]
Fulfilment |  | click=false | en=true | [592,2230][758,2278]
 | Billing | click=true | en=true | [810,2172][1080,2337]
Billing |  | click=false | en=true | [893,2230][996,2278]
