 | Tarsun Enterprise logo | click=false | en=true | [42,198][126,282]
Tarsun Enterprise |  | click=false | en=true | [147,181][556,250]
manager |  | click=false | en=true | [147,250][556,298]
 | More | click=true | en=true | [873,157][1038,322]
⋯ |  | click=false | en=true | [873,205][1038,274]
Updated just now |  | click=false | en=true | [126,357][414,405]
Order queue |  | click=false | en=true | [42,449][1038,518]
 | Order queue | click=true | en=true | [42,540][540,706]
Order queue |  | click=false | en=true | [175,589][407,647]
 | Drafts | click=true | en=true | [540,540][1038,706]
Drafts |  | click=false | en=true | [731,589][846,647]
 | 7 days | click=true | en=true | [47,734][260,899]
7 days |  | click=false | en=true | [91,787][214,845]
 | 30 days | click=true | en=true | [265,734][501,899]
30 days |  | click=false | en=true | [309,787][456,845]
 | 90 days | click=true | en=true | [506,734][743,899]
90 days |  | click=false | en=true | [550,787][697,845]
 | Export CSV | click=true | en=true | [42,926][345,1092]
Export CSV |  | click=false | en=true | [86,979][300,1037]
 | SO-0885, ￼, Submitted, 5855 rupees | click=true | en=true | [45,1123][1035,96]
￼ |  | click=false | en=true | [95,1123][753,64]
Submitted |  | click=false | en=true | [116,1123][311,61]
5,855.00 | 5855 rupees | click=false | en=true | [784,1123][994,37]
 | SO-0882, ￼, Submitted, 2336 rupees | click=true | en=true | [45,1123][1035,285]
SO-0882 |  | click=false | en=true | [95,1123][753,189]
￼ |  | click=false | en=true | [95,1123][753,253]
Submitted |  | click=false | en=true | [116,1123][311,250]
2,336.00 | 2336 rupees | click=false | en=true | [784,1123][994,226]
 | SO-0879, ￼, Submitted, 32030 rupees | click=true | en=true | [45,1123][1035,474]
SO-0879 |  | click=false | en=true | [95,1123][723,378]
￼ |  | click=false | en=true | [95,1123][723,442]
Submitted |  | click=false | en=true | [116,1123][311,439]
32,030.00 | 32030 rupees | click=false | en=true | [754,1123][994,415]
Order |  | click=false | en=true | [42,1123][134,622]
4 rows |  | click=false | en=true | [879,1123][1038,633]
Amount ₹ |  | click=false | en=true | [42,1123][202,701]
41,596.00 |  | click=false | en=true | [798,1123][1038,712]
j / k move · Enter open · 1 confirm · 2 cancel |  | click=false | en=true | [42,1123][1038,802]
Waiting for a decision |  | click=false | en=true | [42,1123][543,955]
Om Sai Provision Store |  | click=false | en=true | [42,1123][1038,1088]
Asked rate |  | click=false | en=true | [42,1123][1038,1157]
₹39.58 | 39 rupees 58 paise | click=false | en=true | [42,1178][1038,1247]
 | Approve | click=true | en=true | [42,1268][1038,1433]
Approve |  | click=false | en=true | [461,1321][618,1379]
 | Reject | click=true | en=true | [42,1454][1038,1619]
Reject |  | click=false | en=true | [480,1507][599,1565]
SO-0911 |  | click=false | en=true | [42,1694][1038,1752]
Asked rate |  | click=false | en=true | [42,1773][1038,1821]
₹45.54 | 45 rupees 54 paise | click=false | en=true | [42,1842][1038,1911]
 | Approve | click=true | en=true | [42,1932][1038,2097]
Approve |  | click=false | en=true | [461,1985][618,2043]
 | Reject | click=true | en=true | [42,2118][1038,2171]
Reject |  | click=false | en=true | [480,2171][599,2171]
SO-0911 |  | click=false | en=true | [42,2359][1038,2171]
 | Today | click=true | en=true | [0,2172][270,2337]
Today |  | click=false | en=true | [85,2230][185,2278]
 | Orders | click=true | en=true | [270,2172][540,2337]
Orders |  | click=false | en=true | [349,2230][461,2278]
 | Fulfilment | click=true | en=true | [540,2172][810,2337]
Fulfilment |  | click=false | en=true | [592,2230][758,2278]
 | Billing | click=true | en=true | [810,2172][1080,2337]
Billing |  | click=false | en=true | [893,2230][996,2278]
