 | Tarsun Enterprise logo | click=false | en=true | [42,198][126,282]
Tarsun Enterprise |  | click=false | en=true | [147,181][556,250]
manager |  | click=false | en=true | [147,250][556,298]
 | More | click=true | en=true | [873,157][1038,322]
⋯ |  | click=false | en=true | [873,205][1038,274]
Updated just now |  | click=false | en=true | [126,357][414,405]
Order queue |  | click=false | en=true | [42,449][1038,518]
 | Order queue | click=true | en=true | [42,540][540,706]
Order queue |  | click=false | en=true | [175,589][407,647]
 | Drafts | click=true | en=true | [540,540][1038,706]
Drafts |  | click=false | en=true | [731,589][846,647]
 | 7 days | click=true | en=true | [47,734][260,899]
7 days |  | click=false | en=true | [91,787][214,845]
 | 30 days | click=true | en=true | [265,734][501,899]
30 days |  | click=false | en=true | [309,787][456,845]
 | 90 days | click=true | en=true | [506,734][743,899]
90 days |  | click=false | en=true | [550,787][697,845]
 | Export CSV | click=true | en=true | [42,926][345,1092]
Export CSV |  | click=false | en=true | [86,979][300,1037]
 | ✓ Submitted | click=true | en=true | [42,1165][350,1331]
✓ Submitted |  | click=false | en=true | [76,1218][316,1276]
 | Confirmed | click=true | en=true | [400,1165][666,1331]
Confirmed |  | click=false | en=true | [434,1218][632,1276]
 | Being picked | click=true | en=true | [716,1165][1028,1331]
Being picked |  | click=false | en=true | [750,1218][993,1276]
 | Packed | click=true | en=true | [1077,1165][1038,1331]
Submitted |  | click=false | en=true | [63,1374][258,1432]
 | Clear | click=true | en=true | [300,1372][399,1537]
Clear |  | click=false | en=true | [300,1425][399,1483]
 | SO-0911, ￼, Submitted, 1375 rupees | click=true | en=true | [45,1561][1035,1750]
SO-0911 |  | click=false | en=true | [95,1596][753,1654]
￼ |  | click=false | en=true | [95,1654][753,1718]
Submitted |  | click=false | en=true | [116,1657][311,1715]
1,375.00 | 1375 rupees | click=false | en=true | [784,1622][994,1691]
 | SO-0885, ￼, Submitted, 5855 rupees | click=true | en=true | [45,1750][1035,1939]
SO-0885 |  | click=false | en=true | [95,1785][753,1843]
￼ |  | click=false | en=true | [95,1843][753,1907]
Submitted |  | click=false | en=true | [116,1846][311,1904]
5,855.00 | 5855 rupees | click=false | en=true | [784,1811][994,1880]
 | SO-0882, ￼, Submitted, 2336 rupees | click=true | en=true | [45,1939][1035,2128]
SO-0882 |  | click=false | en=true | [95,1974][753,2032]
￼ |  | click=false | en=true | [95,2032][753,2096]
Submitted |  | click=false | en=true | [116,2035][311,2093]
2,336.00 | 2336 rupees | click=false | en=true | [784,2000][994,2069]
 | SO-0879, ￼, Submitted, 32030 rupees | click=true | en=true | [45,2128][1035,2171]
SO-0879 |  | click=false | en=true | [95,2163][723,2171]
￼ |  | click=false | en=true | [95,2221][723,2171]
Submitted |  | click=false | en=true | [116,2224][311,2171]
32,030.00 | 32030 rupees | click=false | en=true | [754,2189][994,2171]
 | Today | click=true | en=true | [0,2172][270,2337]
Today |  | click=false | en=true | [85,2230][185,2278]
 | Orders | click=true | en=true | [270,2172][540,2337]
Orders |  | click=false | en=true | [349,2230][461,2278]
 | Fulfilment | click=true | en=true | [540,2172][810,2337]
Fulfilment |  | click=false | en=true | [592,2230][758,2278]
 | Billing | click=true | en=true | [810,2172][1080,2337]
Billing |  | click=false | en=true | [893,2230][996,2278]
