 | Order SO-0911 | click=true | en=true | [0,336][1080,2400]
Order SO-0911 |  | click=false | en=true | [42,420][391,489]
Shop |  | click=false | en=true | [42,521][1038,569]
Mahalaxmi General Stores |  | click=false | en=true | [42,579][1038,637]
Credit |  | click=false | en=true | [42,680][1038,728]
Owes ₹37,634.00 · limit ₹50,000.00 · This order takes it ₹0.00 over the limit |  | click=false | en=true | [42,738][1038,854]
Waiting on |  | click=false | en=true | [42,896][1038,944]
Over credit limit |  | click=false | en=true | [42,976][1038,1034]
 | Approve | click=true | en=true | [42,1055][1038,1221]
Approve |  | click=false | en=true | [461,1108][618,1166]
 | Reject | click=true | en=true | [42,1241][1038,1406]
Reject |  | click=false | en=true | [480,1294][599,1352]
Bargain |  | click=false | en=true | [42,1471][1038,1529]
 | Approve | click=true | en=true | [42,1550][1038,1715]
Approve |  | click=false | en=true | [461,1603][618,1661]
 | Reject | click=true | en=true | [42,1736][1038,1902]
Reject |  | click=false | en=true | [480,1789][599,1847]
State |  | click=false | en=true | [42,1965][1038,2013]
Submitted |  | click=false | en=true | [63,2026][258,2084]
Terms |  | click=false | en=true | [42,2129][1038,2109]
Credit |  | click=false | en=true | [42,2187][1038,2109]
Wanted by |  | click=false | en=true | [42,2287][1038,2109]
— |  | click=false | en=true | [42,2345][1038,2109]
 | Close | click=true | en=true | [42,2151][1038,2316]
Close |  | click=false | en=true | [486,2204][593,2262]
