 | Order SO-0911 | click=true | en=true | [0,336][1080,2400]
Order SO-0911 |  | click=false | en=true | [42,420][391,489]
Bargain |  | click=false | en=true | [42,521][1038,88]
 | Approve | click=true | en=true | [42,521][1038,274]
Approve |  | click=false | en=true | [461,521][618,220]
 | Reject | click=true | en=true | [42,521][1038,461]
Reject |  | click=false | en=true | [480,521][599,406]
State |  | click=false | en=true | [42,524][1038,572]
Submitted |  | click=false | en=true | [63,585][258,643]
Terms |  | click=false | en=true | [42,688][1038,736]
Credit |  | click=false | en=true | [42,746][1038,804]
Wanted by |  | click=false | en=true | [42,846][1038,894]
— |  | click=false | en=true | [42,904][1038,962]
Lines |  | click=false | en=true | [42,1026][168,1095]
1 cs · 24 pc |  | click=false | en=true | [42,1170][1038,1228]
₹1,375.45 | 1375 rupees 45 paise | click=false | en=true | [42,1238][1038,1307]
Subtotal |  | click=false | en=true | [42,1371][1038,1419]
₹1,228.08 | 1228 rupees 08 paise | click=false | en=true | [42,1429][1038,1498]
Discount |  | click=false | en=true | [42,1540][1038,1588]
₹0.00 | 0 rupees | click=false | en=true | [42,1598][1038,1667]
GST |  | click=false | en=true | [42,1709][1038,1757]
₹147.37 | 147 rupees 37 paise | click=false | en=true | [42,1767][1038,1836]
Total |  | click=false | en=true | [42,1879][1038,1927]
₹1,375.00 | 1375 rupees | click=false | en=true | [42,1937][1038,2006]
Held for this order |  | click=false | en=true | [42,2048][1038,2096]
0 |  | click=false | en=true | [42,2106][1038,2109]
 | Confirm order | click=true | en=false | [42,2207][1038,2109]
Confirm order |  | click=false | en=true | [409,2260][671,2109]
Waiting on Over credit limit · Bargain. Approve or reject each one first; the last approval confirms the order. |  | click=false | en=true | [42,2382][1038,2109]
 | Close | click=true | en=true | [42,2151][1038,2316]
Close |  | click=false | en=true | [486,2204][593,2262]
