 | Order SO-0911 | click=true | en=true | [0,336][1080,2400]
Order SO-0911 |  | click=false | en=true | [42,420][391,489]
Wanted by |  | click=false | en=true | [42,521][1038,72]
— |  | click=false | en=true | [42,521][1038,140]
Lines |  | click=false | en=true | [42,521][168,273]
1 cs · 24 pc |  | click=false | en=true | [42,521][1038,406]
₹1,375.45 | 1375 rupees 45 paise | click=false | en=true | [42,521][1038,485]
Subtotal |  | click=false | en=true | [42,549][1038,597]
₹1,228.08 | 1228 rupees 08 paise | click=false | en=true | [42,607][1038,676]
Discount |  | click=false | en=true | [42,718][1038,766]
₹0.00 | 0 rupees | click=false | en=true | [42,776][1038,845]
GST |  | click=false | en=true | [42,887][1038,935]
₹147.37 | 147 rupees 37 paise | click=false | en=true | [42,945][1038,1014]
Total |  | click=false | en=true | [42,1057][1038,1105]
₹1,375.00 | 1375 rupees | click=false | en=true | [42,1115][1038,1184]
Held for this order |  | click=false | en=true | [42,1226][1038,1274]
0 |  | click=false | en=true | [42,1284][1038,1342]
 | Confirm order | click=true | en=false | [42,1385][1038,1550]
Confirm order |  | click=false | en=true | [409,1438][671,1496]
Waiting on Over credit limit · Bargain. Approve or reject each one first; the last approval confirms the order. |  | click=false | en=true | [42,1560][1038,1656]
 | Free the held stock | click=true | en=false | [42,1688][1038,1853]
Free the held stock |  | click=false | en=true | [361,1741][719,1799]
Nothing is held for this order |  | click=false | en=true | [42,1863][1038,1911]
 | Cancel order | click=true | en=true | [42,1944][1038,2109]
Cancel order |  | click=false | en=true | [420,1997][660,2055]
 | Close | click=true | en=true | [42,2151][1038,2316]
Close |  | click=false | en=true | [486,2204][593,2262]
