 | Order SO-0911 | click=true | en=true | [0,336][1080,2400]
Order SO-0911 |  | click=false | en=true | [42,420][391,489]
Shop |  | click=false | en=true | [42,521][1038,569]
Mahalaxmi General Stores |  | click=false | en=true | [42,579][1038,637]
Credit |  | click=false | en=true | [42,680][1038,728]
Owes ₹37,634.00 · limit ₹50,000.00 · This order takes it ₹0.00 over the limit |  | click=false | en=true | [42,738][1038,854]
Waiting on |  | click=false | en=true | [42,896][1038,944]
Over credit limit |  | click=false | en=true | [42,976][1038,1034]
 | Approve | click=true | en=true | [42,1055][1038,1221]
Approve |  | click=false | en=true | [461,1108][618,1166]
 | Reject | click=true | en=true | [42,1241][1038,1406]
Reject |  | click=false | en=true | [480,1294][599,1352]
State |  | click=false | en=true | [42,1470][1038,1518]
Submitted |  | click=false | en=true | [63,1531][258,1589]
Terms |  | click=false | en=true | [42,1634][1038,1682]
Credit |  | click=false | en=true | [42,1692][1038,1750]
Wanted by |  | click=false | en=true | [42,1792][1038,1840]
— |  | click=false | en=true | [42,1850][1038,1908]
Lines |  | click=false | en=true | [42,1972][168,2041]
1 cs · 24 pc |  | click=false | en=true | [42,2116][1038,2109]
₹1,375.45 | 1375 rupees 45 paise | click=false | en=true | [42,2184][1038,2109]
Subtotal |  | click=false | en=true | [42,2317][1038,2109]
₹1,228.08 | 1228 rupees 08 paise | click=false | en=true | [42,2375][1038,2109]
 | Close | click=true | en=true | [42,2151][1038,2316]
Close |  | click=false | en=true | [486,2204][593,2262]
