 | Order SO-0911 | click=true | en=true | [0,336][1080,2400]
Order SO-0911 |  | click=false | en=true | [42,420][391,489]
Shop |  | click=false | en=true | [42,521][1038,569]
Mahalaxmi General Stores |  | click=false | en=true | [42,579][1038,637]
Credit |  | click=false | en=true | [42,680][1038,728]
Owes ₹37,634.00 · limit ₹50,000.00 · This order takes it ₹0.00 over the limit |  | click=false | en=true | [42,738][1038,854]
State |  | click=false | en=true | [42,896][1038,944]
Confirmed |  | click=false | en=true | [63,957][261,1015]
Terms |  | click=false | en=true | [42,1060][1038,1108]
Credit |  | click=false | en=true | [42,1118][1038,1176]
Wanted by |  | click=false | en=true | [42,1218][1038,1266]
— |  | click=false | en=true | [42,1276][1038,1334]
Lines |  | click=false | en=true | [42,1398][168,1467]
1 cs · 24 pc |  | click=false | en=true | [42,1542][1038,1600]
₹1,375.45 | 1375 rupees 45 paise | click=false | en=true | [42,1610][1038,1679]
Subtotal |  | click=false | en=true | [42,1743][1038,1791]
₹1,228.08 | 1228 rupees 08 paise | click=false | en=true | [42,1801][1038,1870]
Discount |  | click=false | en=true | [42,1912][1038,1960]
₹0.00 | 0 rupees | click=false | en=true | [42,1970][1038,2039]
GST |  | click=false | en=true | [42,2081][1038,2109]
₹147.37 | 147 rupees 37 paise | click=false | en=true | [42,2139][1038,2109]
Total |  | click=false | en=true | [42,2251][1038,2109]
₹1,375.00 | 1375 rupees | click=false | en=true | [42,2309][1038,2109]
 | Close | click=true | en=true | [42,2151][1038,2316]
Close |  | click=false | en=true | [486,2204][593,2262]
