 | Order SO-0911 | click=true | en=true | [0,336][1080,2400]
Order SO-0911 |  | click=false | en=true | [42,420][391,489]
Terms |  | click=false | en=true | [42,521][1038,21]
Credit |  | click=false | en=true | [42,521][1038,89]
Wanted by |  | click=false | en=true | [42,521][1038,179]
— |  | click=false | en=true | [42,521][1038,247]
Lines |  | click=false | en=true | [42,521][168,380]
1 cs · 24 pc |  | click=false | en=true | [42,521][1038,513]
₹1,375.45 | 1375 rupees 45 paise | click=false | en=true | [42,523][1038,592]
Subtotal |  | click=false | en=true | [42,656][1038,704]
₹1,228.08 | 1228 rupees 08 paise | click=false | en=true | [42,714][1038,783]
Discount |  | click=false | en=true | [42,825][1038,873]
₹0.00 | 0 rupees | click=false | en=true | [42,883][1038,952]
GST |  | click=false | en=true | [42,994][1038,1042]
₹147.37 | 147 rupees 37 paise | click=false | en=true | [42,1052][1038,1121]
Total |  | click=false | en=true | [42,1164][1038,1212]
₹1,375.00 | 1375 rupees | click=false | en=true | [42,1222][1038,1291]
Held for this order |  | click=false | en=true | [42,1333][1038,1381]
2 |  | click=false | en=true | [42,1391][1038,1449]
 | Confirm order | click=true | en=false | [42,1492][1038,1657]
Confirm order |  | click=false | en=true | [409,1545][671,1603]
Only a submitted order can be confirmed |  | click=false | en=true | [42,1667][1038,1715]
 | Free the held stock | click=true | en=true | [42,1747][1038,1912]
Free the held stock |  | click=false | en=true | [361,1800][719,1858]
 | Cancel order | click=true | en=true | [42,1944][1038,2109]
Cancel order |  | click=false | en=true | [420,1997][660,2055]
 | Close | click=true | en=true | [42,2151][1038,2316]
Close |  | click=false | en=true | [486,2204][593,2262]
