 | Tarsun Enterprise logo | click=false | en=true | [42,198][126,282]
Tarsun Enterprise |  | click=false | en=true | [147,181][556,250]
manager |  | click=false | en=true | [147,250][556,298]
 | More | click=true | en=true | [873,157][1038,322]
⋯ |  | click=false | en=true | [873,205][1038,274]
Updated 7 min ago |  | click=false | en=true | [126,357][438,405]
Credit notes |  | click=false | en=true | [42,449][1038,518]
 | Billing desk | click=true | en=true | [42,540][374,706]
Billing desk |  | click=false | en=true | [98,589][317,647]
 | Credit notes | click=true | en=true | [374,540][706,706]
Credit notes |  | click=false | en=true | [425,589][655,647]
 | Brand DMS | click=true | en=true | [706,540][1038,706]
Brand DMS |  | click=false | en=true | [766,589][977,647]
 | 7 days | click=true | en=true | [47,734][260,899]
7 days |  | click=false | en=true | [91,787][214,845]
 | 30 days | click=true | en=true | [265,734][501,899]
30 days |  | click=false | en=true | [309,787][456,845]
 | 90 days | click=true | en=true | [506,734][743,899]
90 days |  | click=false | en=true | [550,787][697,845]
 | Draft a credit note | click=true | en=true | [42,926][1038,1092]
Draft a credit note |  | click=false | en=true | [370,979][710,1037]
 | CN/0035, ￼, Issued, 357 rupees 42 paise | click=true | en=true | [45,1168][1035,1357]
CN/0035 |  | click=false | en=true | [95,1203][796,1261]
￼ |  | click=false | en=true | [95,1261][796,1325]
Issued |  | click=false | en=true | [116,1264][241,1322]
357.42 | 357 rupees 42 paise | click=false | en=true | [827,1229][994,1298]
 | CN/0028, ￼, Issued, 137 rupees 82 paise | click=true | en=true | [45,1357][1035,1546]
CN/0028 |  | click=false | en=true | [95,1392][796,1450]
￼ |  | click=false | en=true | [95,1450][796,1514]
Issued |  | click=false | en=true | [116,1453][241,1511]
137.82 | 137 rupees 82 paise | click=false | en=true | [827,1418][994,1487]
 | CN/0001, ￼, Issued, 138 rupees 54 paise | click=true | en=true | [45,1546][1035,1735]
CN/0001 |  | click=false | en=true | [95,1581][796,1639]
￼ |  | click=false | en=true | [95,1639][796,1703]
Issued |  | click=false | en=true | [116,1642][241,1700]
138.54 | 138 rupees 54 paise | click=false | en=true | [827,1607][994,1676]
 | CN/0046, ￼, Issued, 338 rupees 55 paise | click=true | en=true | [45,1735][1035,1924]
CN/0046 |  | click=false | en=true | [95,1770][796,1828]
￼ |  | click=false | en=true | [95,1828][796,1892]
Issued |  | click=false | en=true | [116,1831][241,1889]
338.55 | 338 rupees 55 paise | click=false | en=true | [827,1796][994,1865]
 | CN/0061, ￼, Issued, 111 rupees 36 paise | click=true | en=true | [45,1924][1035,2113]
CN/0061 |  | click=false | en=true | [95,1959][796,2017]
￼ |  | click=false | en=true | [95,2017][796,2081]
Issued |  | click=false | en=true | [116,2020][241,2078]
111.36 | 111 rupees 36 paise | click=false | en=true | [827,1985][994,2054]
 | CN/0030, ￼, Issued, 509 rupees 76 paise | click=true | en=true | [45,2113][1035,2171]
CN/0030 |  | click=false | en=true | [95,2148][796,2171]
￼ |  | click=false | en=true | [95,2206][796,2171]
Issued |  | click=false | en=true | [116,2209][241,2171]
509.76 | 509 rupees 76 paise | click=false | en=true | [827,2174][994,2171]
 | CN/0056, ￼, Issued, 597 rupees 90 paise | click=true | en=true | [45,2302][1035,2171]
CN/0056 |  | click=false | en=true | [95,2337][796,2171]
￼ |  | click=false | en=true | [95,2395][796,2171]
Issued |  | click=false | en=true | [116,2398][241,2171]
597.90 | 597 rupees 90 paise | click=false | en=true | [827,2363][994,2171]
 | Today | click=true | en=true | [0,2172][270,2337]
Today |  | click=false | en=true | [85,2230][185,2278]
 | Orders | click=true | en=true | [270,2172][540,2337]
Orders |  | click=false | en=true | [349,2230][461,2278]
 | Fulfilment | click=true | en=true | [540,2172][810,2337]
Fulfilment |  | click=false | en=true | [592,2230][758,2278]
 | Billing | click=true | en=true | [810,2172][1080,2337]
Billing |  | click=false | en=true | [893,2230][996,2278]
