 | Draft a credit note | click=true | en=true | [0,1440][1080,2400]
Draft a credit note |  | click=false | en=true | [42,1524][458,1593]
Bill |  | click=true | en=true | [42,1625][1038,1791]
 | Short delivered | click=true | en=true | [42,1853][396,2019]
Short delivered |  | click=false | en=true | [76,1906][362,1964]
 | ✓ Return, saleable | click=true | en=true | [446,1853][863,2019]
✓ Return, saleable |  | click=false | en=true | [480,1906][829,1964]
 | Return, damaged | click=true | en=true | [913,1853][1038,2019]
Return, damaged |  | click=false | en=true | [947,1906][1038,1964]
Pick a row to see it here |  | click=false | en=true | [42,2060][1038,2108]
 | Close | click=true | en=true | [42,2150][1038,2315]
Close |  | click=false | en=true | [486,2203][593,2261]
