 | Draft a credit note | click=true | en=true | [0,336][1080,2400]
Draft a credit note |  | click=false | en=true | [42,420][458,489]
INV/0634 |  | click=true | en=true | [42,521][1038,687]
 | INV/0634, Sharma Kirana Stores, 10187 rupees | click=true | en=true | [42,707][1038,896]
INV/0634 |  | click=false | en=true | [92,750][698,808]
Sharma Kirana Stores |  | click=false | en=true | [92,808][698,856]
₹10,187.00 | 10187 rupees | click=false | en=true | [728,768][996,837]
 | Short delivered | click=true | en=true | [42,938][396,1103]
Short delivered |  | click=false | en=true | [76,991][362,1049]
 | ✓ Return, saleable | click=true | en=true | [446,938][863,1103]
✓ Return, saleable |  | click=false | en=true | [480,991][829,1049]
 | Return, damaged | click=true | en=true | [913,938][1038,1103]
Return, damaged |  | click=false | en=true | [947,991][1038,1049]
Sunbake Glucose 55 g |  | click=false | en=true | [42,1177][1038,1235]
40 pc |  | click=false | en=true | [42,1256][1038,1304]
Pieces to credit |  | click=false | en=true | [42,1326][1038,1374]
40 pc left to credit |  | click=false | en=true | [42,1560][1038,1608]
Campa Lemon 750 ml |  | click=false | en=true | [42,1713][1038,1771]
2 cs · 48 pc · 2 pc free |  | click=false | en=true | [42,1792][1038,1840]
Pieces to credit |  | click=false | en=true | [42,1862][1038,1910]
50 pc left to credit |  | click=false | en=true | [42,2096][1038,2109]
Godavari Cow Ghee 200 ml |  | click=false | en=true | [42,2250][1038,2109]
20 pc |  | click=false | en=true | [42,2329][1038,2109]
Pieces to credit |  | click=false | en=true | [42,2399][1038,2109]
 | Close | click=true | en=true | [42,2151][1038,2316]
Close |  | click=false | en=true | [486,2204][593,2262]
