 | Draft a credit note | click=true | en=true | [0,336][1080,2400]
Draft a credit note |  | click=false | en=true | [42,420][458,489]
50 pc left to credit |  | click=false | en=true | [42,521][1038,202]
Godavari Cow Ghee 200 ml |  | click=false | en=true | [42,521][1038,366]
20 pc |  | click=false | en=true | [42,521][1038,435]
Pieces to credit |  | click=false | en=true | [42,521][1038,505]
20 pc left to credit |  | click=false | en=true | [42,691][1038,739]
Konkan Farsan Mix 400 g |  | click=false | en=true | [42,844][1038,902]
2 cs · 40 pc |  | click=false | en=true | [42,923][1038,971]
Pieces to credit |  | click=false | en=true | [42,993][1038,1041]
40 pc left to credit |  | click=false | en=true | [42,1227][1038,1275]
Annapurna Basmati Classic 1 kg |  | click=false | en=true | [42,1381][1038,1439]
9 pc |  | click=false | en=true | [42,1460][1038,1508]
Pieces to credit |  | click=false | en=true | [42,1530][1038,1578]
9 pc left to credit |  | click=false | en=true | [42,1764][1038,1812]
 | Draft a credit note | click=true | en=false | [42,1886][1038,2052]
Draft a credit note |  | click=false | en=true | [370,1939][710,1997]
Fix the pieces marked in red first |  | click=false | en=true | [42,2061][1038,2109]
 | Close | click=true | en=true | [42,2151][1038,2316]
Close |  | click=false | en=true | [486,2204][593,2262]
