 | Draft a credit note | click=true | en=true | [0,336][1080,2400]
Draft a credit note |  | click=false | en=true | [42,420][458,489]
Pieces to credit |  | click=false | en=true | [42,521][1038,26]
50 pc left to credit |  | click=false | en=true | [42,521][1038,260]
Godavari Cow Ghee 200 ml |  | click=false | en=true | [42,521][1038,424]
20 pc |  | click=false | en=true | [42,521][1038,493]
Pieces to credit |  | click=false | en=true | [42,521][1038,563]
20 pc left to credit |  | click=false | en=true | [42,749][1038,797]
Konkan Farsan Mix 400 g |  | click=false | en=true | [42,902][1038,960]
2 cs · 40 pc |  | click=false | en=true | [42,981][1038,1029]
Pieces to credit |  | click=false | en=true | [42,1051][1038,1099]
40 pc left to credit |  | click=false | en=true | [42,1285][1038,1333]
Annapurna Basmati Classic 1 kg |  | click=false | en=true | [42,1439][1038,1497]
9 pc |  | click=false | en=true | [42,1518][1038,1566]
Pieces to credit |  | click=false | en=true | [42,1588][1038,1636]
9 pc left to credit |  | click=false | en=true | [42,1822][1038,1870]
 | Draft a credit note | click=true | en=true | [42,1944][1038,2109]
Draft a credit note |  | click=false | en=true | [370,1997][710,2055]
 | Close | click=true | en=true | [42,2151][1038,2316]
Close |  | click=false | en=true | [486,2204][593,2262]
