 | Draft a credit note | click=true | en=true | [0,336][1080,2400]
Draft a credit note |  | click=false | en=true | [42,420][458,489]
50 pc left to credit |  | click=false | en=true | [42,521][1038,102]
Godavari Cow Ghee 200 ml |  | click=false | en=true | [42,521][1038,266]
20 pc |  | click=false | en=true | [42,521][1038,335]
Pieces to credit |  | click=false | en=true | [42,521][1038,405]
20 pc left to credit |  | click=false | en=true | [42,591][1038,639]
Konkan Farsan Mix 400 g |  | click=false | en=true | [42,744][1038,802]
2 cs · 40 pc |  | click=false | en=true | [42,823][1038,871]
Pieces to credit |  | click=false | en=true | [42,893][1038,941]
40 pc left to credit |  | click=false | en=true | [42,1127][1038,1175]
Annapurna Basmati Classic 1 kg |  | click=false | en=true | [42,1281][1038,1339]
9 pc |  | click=false | en=true | [42,1360][1038,1408]
Pieces to credit |  | click=false | en=true | [42,1430][1038,1478]
9 pc left to credit |  | click=false | en=true | [42,1664][1038,1712]
only 1 pcs of Sunbake Glucose 55 g are left to credit on INV/0634 |  | click=false | en=true | [42,1785][1038,1901]
 | busy | click=true | en=true | [42,1944][1038,2109]
Draft a credit note |  | click=false | en=true | [370,1997][710,2055]
 | Close | click=true | en=true | [42,2151][1038,2316]
Close |  | click=false | en=true | [486,2204][593,2262]
