 | Tarsun Enterprise logo | click=false | en=true | [42,198][126,282]
Tarsun Enterprise |  | click=false | en=true | [147,181][556,250]
manager |  | click=false | en=true | [147,250][556,298]
 | More | click=true | en=true | [873,157][1038,322]
⋯ |  | click=false | en=true | [873,205][1038,274]
Updated 1 min ago |  | click=false | en=true | [126,357][438,405]
Fulfilment |  | click=false | en=true | [42,449][1038,518]
 | Waves | click=true | en=true | [42,540][374,706]
Waves |  | click=false | en=true | [146,589][270,647]
 | Pick &amp; pack | click=true | en=true | [374,540][706,706]
Pick &amp; pack |  | click=false | en=true | [429,589][650,647]
 | Load-out | click=true | en=true | [706,540][1038,706]
Load-out |  | click=false | en=true | [787,589][957,647]
Waiting to be picked |  | click=false | en=true | [42,803][510,872]
 | Station Road | click=true | en=true | [42,926][352,1092]
Station Road |  | click=false | en=true | [76,979][318,1037]
 | Kalyan West Market | click=true | en=true | [402,926][845,1092]
Kalyan West Market |  | click=false | en=true | [436,979][811,1037]
 | Birla College Road | click=true | en=true | [895,926][1038,1092]
Birla College Road |  | click=false | en=true | [929,979][1038,1037]
 | SO-0850, ￼, No, 390 | click=true | en=true | [45,1136][1035,1325]
SO-0850 |  | click=false | en=true | [95,1171][892,1229]
￼ |  | click=false | en=true | [95,1229][892,1293]
No |  | click=false | en=true | [116,1232][170,1290]
390 |  | click=false | en=true | [923,1203][994,1261]
 | SO-0873, ￼, No, 163 | click=true | en=true | [45,1325][1035,1514]
SO-0873 |  | click=false | en=true | [95,1360][892,1418]
￼ |  | click=false | en=true | [95,1418][892,1482]
No |  | click=false | en=true | [116,1421][170,1479]
163 |  | click=false | en=true | [923,1392][994,1450]
 | SO-9003, ￼, No, 2 | click=true | en=true | [45,1514][1035,1703]
SO-9003 |  | click=false | en=true | [95,1549][939,1607]
￼ |  | click=false | en=true | [95,1607][939,1671]
No |  | click=false | en=true | [116,1610][170,1668]
2 |  | click=false | en=true | [970,1581][994,1639]
 | SO-9001, ￼, No, 72 | click=true | en=true | [45,1703][1035,1892]
SO-9001 |  | click=false | en=true | [95,1738][915,1796]
￼ |  | click=false | en=true | [95,1796][915,1860]
No |  | click=false | en=true | [116,1799][170,1857]
72 |  | click=false | en=true | [946,1770][994,1828]
 | SO-0868, ￼, No, 566 | click=true | en=true | [45,1892][1035,2081]
SO-0868 |  | click=false | en=true | [95,1927][892,1985]
￼ |  | click=false | en=true | [95,1985][892,2049]
No |  | click=false | en=true | [116,1988][170,2046]
566 |  | click=false | en=true | [923,1959][994,2017]
 | SO-0845, ￼, No, 256 | click=true | en=true | [45,2081][1035,2171]
SO-0845 |  | click=false | en=true | [95,2116][892,2171]
￼ |  | click=false | en=true | [95,2174][892,2171]
No |  | click=false | en=true | [116,2177][170,2171]
256 |  | click=false | en=true | [923,2148][994,2171]
 | SO-0911, ￼, No, 24 | click=true | en=true | [45,2270][1035,2171]
SO-0911 |  | click=false | en=true | [95,2305][915,2171]
￼ |  | click=false | en=true | [95,2363][915,2171]
No |  | click=false | en=true | [116,2366][170,2171]
24 |  | click=false | en=true | [946,2337][994,2171]
 | Today | click=true | en=true | [0,2172][270,2337]
Today |  | click=false | en=true | [85,2230][185,2278]
 | Orders | click=true | en=true | [270,2172][540,2337]
Orders |  | click=false | en=true | [349,2230][461,2278]
 | Fulfilment | click=true | en=true | [540,2172][810,2337]
Fulfilment |  | click=false | en=true | [592,2230][758,2278]
 | Billing | click=true | en=true | [810,2172][1080,2337]
Billing |  | click=false | en=true | [893,2230][996,2278]
