 | Tarsun Enterprise logo | click=false | en=true | [42,198][126,282]
Tarsun Enterprise |  | click=false | en=true | [147,181][556,250]
manager |  | click=false | en=true | [147,250][556,298]
 | More | click=true | en=true | [873,157][1038,322]
⋯ |  | click=false | en=true | [873,205][1038,274]
Updated 1 min ago |  | click=false | en=true | [126,357][438,405]
Fulfilment |  | click=false | en=true | [42,449][1038,518]
 | Waves | click=true | en=true | [42,540][374,706]
Waves |  | click=false | en=true | [146,589][270,647]
 | Pick &amp; pack | click=true | en=true | [374,540][706,706]
Pick &amp; pack |  | click=false | en=true | [429,589][650,647]
 | Load-out | click=true | en=true | [706,540][1038,706]
Load-out |  | click=false | en=true | [787,589][957,647]
 | SO-0888, ￼, No, 6 | click=true | en=true | [45,740][1035,41]
￼ |  | click=false | en=true | [95,740][939,9]
No |  | click=false | en=true | [116,740][170,6]
 | SO-0883, ￼, No, 48 | click=true | en=true | [45,740][1035,230]
SO-0883 |  | click=false | en=true | [95,740][915,134]
￼ |  | click=false | en=true | [95,740][915,198]
No |  | click=false | en=true | [116,740][170,195]
48 |  | click=false | en=true | [946,740][994,166]
Order |  | click=false | en=true | [42,740][134,377]
17 |  | click=false | en=true | [977,740][1038,388]
Pieces |  | click=false | en=true | [42,740][154,451]
1853 |  | click=false | en=true | [943,740][1038,456]
The picker gets one sheet, in FEFO order, for every order you tick. |  | click=false | en=true | [42,740][1038,594]
Picking sheets |  | click=false | en=true | [42,740][383,747]
 | PICK-0089, ￼, Picked, 333 | click=true | en=true | [45,804][1035,993]
PICK-0089 |  | click=false | en=true | [95,839][892,897]
￼ |  | click=false | en=true | [95,897][892,961]
Picked |  | click=false | en=true | [116,900][244,958]
333 |  | click=false | en=true | [923,871][994,929]
 | PICK-0088, ￼, Packed, 168 | click=true | en=true | [45,993][1035,1182]
PICK-0088 |  | click=false | en=true | [95,1028][892,1086]
￼ |  | click=false | en=true | [95,1086][892,1150]
Packed |  | click=false | en=true | [116,1089][256,1147]
168 |  | click=false | en=true | [923,1060][994,1118]
 | PICK-0087, ￼, Picked, 144 | click=true | en=true | [45,1182][1035,1371]
PICK-0087 |  | click=false | en=true | [95,1217][892,1275]
￼ |  | click=false | en=true | [95,1275][892,1339]
Picked |  | click=false | en=true | [116,1278][244,1336]
144 |  | click=false | en=true | [923,1249][994,1307]
 | PICK-0086, ￼, Packed, 360 | click=true | en=true | [45,1371][1035,1560]
PICK-0086 |  | click=false | en=true | [95,1406][892,1464]
￼ |  | click=false | en=true | [95,1464][892,1528]
Packed |  | click=false | en=true | [116,1467][256,1525]
360 |  | click=false | en=true | [923,1438][994,1496]
 | PICK-0085, ￼, Packed, 366 | click=true | en=true | [45,1560][1035,1749]
PICK-0085 |  | click=false | en=true | [95,1595][892,1653]
￼ |  | click=false | en=true | [95,1653][892,1717]
Packed |  | click=false | en=true | [116,1656][256,1714]
366 |  | click=false | en=true | [923,1627][994,1685]
 | PICK-0084, ￼, Packed, 24 | click=true | en=true | [45,1749][1035,1938]
PICK-0084 |  | click=false | en=true | [95,1784][915,1842]
￼ |  | click=false | en=true | [95,1842][915,1906]
Packed |  | click=false | en=true | [116,1845][256,1903]
24 |  | click=false | en=true | [946,1816][994,1874]
 | PICK-0083, ￼, Picked, 78 | click=true | en=true | [45,1938][1035,2127]
PICK-0083 |  | click=false | en=true | [95,1973][915,2031]
￼ |  | click=false | en=true | [95,2031][915,2095]
Picked |  | click=false | en=true | [116,2034][244,2092]
78 |  | click=false | en=true | [946,2005][994,2063]
 | PICK-0082, ￼, Packed, 35 | click=true | en=true | [45,2127][1035,2171]
PICK-0082 |  | click=false | en=true | [95,2162][915,2171]
￼ |  | click=false | en=true | [95,2220][915,2171]
Packed |  | click=false | en=true | [116,2223][256,2171]
35 |  | click=false | en=true | [946,2194][994,2171]
 | PICK-0081, ￼, Packed, 6 | click=true | en=true | [45,2316][1035,2171]
PICK-0081 |  | click=false | en=true | [95,2351][939,2171]
6 |  | click=false | en=true | [970,2383][994,2171]
 | Today | click=true | en=true | [0,2172][270,2337]
Today |  | click=false | en=true | [85,2230][185,2278]
 | Orders | click=true | en=true | [270,2172][540,2337]
Orders |  | click=false | en=true | [349,2230][461,2278]
 | Fulfilment | click=true | en=true | [540,2172][810,2337]
Fulfilment |  | click=false | en=true | [592,2230][758,2278]
 | Billing | click=true | en=true | [810,2172][1080,2337]
Billing |  | click=false | en=true | [893,2230][996,2278]
