 | Tarsun Enterprise logo | click=false | en=true | [42,198][126,282]
Tarsun Enterprise |  | click=false | en=true | [147,181][556,250]
manager |  | click=false | en=true | [147,250][556,298]
 | More | click=true | en=true | [873,157][1038,322]
⋯ |  | click=false | en=true | [873,205][1038,274]
Updated 1 min ago |  | click=false | en=true | [126,357][438,405]
Fulfilment |  | click=false | en=true | [42,449][1038,518]
 | Waves | click=true | en=true | [42,540][374,706]
Waves |  | click=false | en=true | [146,589][270,647]
 | Pick &amp; pack | click=true | en=true | [374,540][706,706]
Pick &amp; pack |  | click=false | en=true | [429,589][650,647]
 | Load-out | click=true | en=true | [706,540][1038,706]
Load-out |  | click=false | en=true | [787,589][957,647]
Waiting to be picked |  | click=false | en=true | [42,740][510,413]
 | Station Road | click=true | en=true | [42,740][352,633]
Station Road |  | click=false | en=true | [76,740][318,578]
 | Kalyan West Market | click=true | en=true | [402,740][845,633]
Kalyan West Market |  | click=false | en=true | [436,740][811,578]
 | Birla College Road | click=true | en=true | [895,740][1038,633]
Birla College Road |  | click=false | en=true | [929,740][1038,578]
 | SO-0850, ￼, No, 390 | click=true | en=true | [45,740][1035,866]
SO-0850 |  | click=false | en=true | [95,740][892,770]
￼ |  | click=false | en=true | [95,770][892,834]
No |  | click=false | en=true | [116,773][170,831]
390 |  | click=false | en=true | [923,744][994,802]
 | SO-0873, ￼, No, 163 | click=true | en=true | [45,866][1035,1055]
SO-0873 |  | click=false | en=true | [95,901][892,959]
￼ |  | click=false | en=true | [95,959][892,1023]
No |  | click=false | en=true | [116,962][170,1020]
163 |  | click=false | en=true | [923,933][994,991]
 | SO-9003, ￼, No, 2 | click=true | en=true | [45,1055][1035,1244]
SO-9003 |  | click=false | en=true | [95,1090][939,1148]
￼ |  | click=false | en=true | [95,1148][939,1212]
No |  | click=false | en=true | [116,1151][170,1209]
2 |  | click=false | en=true | [970,1122][994,1180]
 | SO-9001, ￼, No, 72 | click=true | en=true | [45,1244][1035,1433]
SO-9001 |  | click=false | en=true | [95,1279][915,1337]
￼ |  | click=false | en=true | [95,1337][915,1401]
No |  | click=false | en=true | [116,1340][170,1398]
72 |  | click=false | en=true | [946,1311][994,1369]
 | SO-0868, ￼, No, 566 | click=true | en=true | [45,1433][1035,1622]
SO-0868 |  | click=false | en=true | [95,1468][892,1526]
￼ |  | click=false | en=true | [95,1526][892,1590]
No |  | click=false | en=true | [116,1529][170,1587]
566 |  | click=false | en=true | [923,1500][994,1558]
 | SO-0845, ￼, No, 256 | click=true | en=true | [45,1622][1035,1811]
SO-0845 |  | click=false | en=true | [95,1657][892,1715]
￼ |  | click=false | en=true | [95,1715][892,1779]
No |  | click=false | en=true | [116,1718][170,1776]
256 |  | click=false | en=true | [923,1689][994,1747]
 | SO-0911, ￼, Yes, 24 | click=true | en=true | [45,1811][1035,1862]
SO-0911 |  | click=false | en=true | [95,1846][915,1862]
￼ |  | click=false | en=true | [95,1904][915,1862]
Yes |  | click=false | en=true | [116,1907][185,1862]
24 |  | click=false | en=true | [946,1878][994,1862]
 | SO-0910, ￼, No, 24 | click=true | en=true | [45,2000][1035,1862]
SO-0910 |  | click=false | en=true | [95,2035][915,1862]
￼ |  | click=false | en=true | [95,2093][915,1862]
No |  | click=false | en=true | [116,2096][170,1862]
24 |  | click=false | en=true | [946,2067][994,1862]
 | SO-0909, ￼, No, 168 | click=true | en=true | [45,2189][1035,1862]
SO-0909 |  | click=false | en=true | [95,2224][892,1862]
￼ |  | click=false | en=true | [95,2282][892,1862]
No |  | click=false | en=true | [116,2285][170,1862]
168 |  | click=false | en=true | [923,2256][994,1862]
 | SO-0904, ￼, No, 72 | click=true | en=true | [45,2378][1035,1862]
1 orders · 24 pc |  | click=false | en=true | [42,1895][1038,1953]
 | Make a picking sheet | click=true | en=true | [42,1974][1038,2139]
Make a picking sheet |  | click=false | en=true | [340,2027][739,2085]
 | Today | click=true | en=true | [0,2172][270,2337]
Today |  | click=false | en=true | [85,2230][185,2278]
 | Orders | click=true | en=true | [270,2172][540,2337]
Orders |  | click=false | en=true | [349,2230][461,2278]
 | Fulfilment | click=true | en=true | [540,2172][810,2337]
Fulfilment |  | click=false | en=true | [592,2230][758,2278]
 | Billing | click=true | en=true | [810,2172][1080,2337]
Billing |  | click=false | en=true | [893,2230][996,2278]
