 | Tarsun Enterprise logo | click=false | en=true | [42,198][126,282]
Tarsun Enterprise |  | click=false | en=true | [147,181][556,250]
manager |  | click=false | en=true | [147,250][556,298]
 | More | click=true | en=true | [873,157][1038,322]
⋯ |  | click=false | en=true | [873,205][1038,274]
Updated just now |  | click=false | en=true | [126,357][414,405]
Fulfilment |  | click=false | en=true | [42,449][1038,518]
 | Waves | click=true | en=true | [42,540][374,706]
Waves |  | click=false | en=true | [146,589][270,647]
 | Pick &amp; pack | click=true | en=true | [374,540][706,706]
Pick &amp; pack |  | click=false | en=true | [429,589][650,647]
 | Load-out | click=true | en=true | [706,540][1038,706]
Load-out |  | click=false | en=true | [787,589][957,647]
 | SO-0892, ￼, No, 6 | click=true | en=true | [45,740][1035,134]
SO-0892 |  | click=false | en=true | [95,740][939,38]
￼ |  | click=false | en=true | [95,740][939,102]
No |  | click=false | en=true | [116,740][170,99]
6 |  | click=false | en=true | [970,740][994,70]
 | SO-0890, ￼, No, 6 | click=true | en=true | [45,740][1035,323]
SO-0890 |  | click=false | en=true | [95,740][939,227]
￼ |  | click=false | en=true | [95,740][939,291]
No |  | click=false | en=true | [116,740][170,288]
6 |  | click=false | en=true | [970,740][994,259]
 | SO-0888, ￼, No, 6 | click=true | en=true | [45,740][1035,512]
SO-0888 |  | click=false | en=true | [95,740][939,416]
￼ |  | click=false | en=true | [95,740][939,480]
No |  | click=false | en=true | [116,740][170,477]
6 |  | click=false | en=true | [970,740][994,448]
 | SO-0883, ￼, No, 48 | click=true | en=true | [45,740][1035,701]
SO-0883 |  | click=false | en=true | [95,740][915,605]
￼ |  | click=false | en=true | [95,740][915,669]
No |  | click=false | en=true | [116,740][170,666]
48 |  | click=false | en=true | [946,740][994,637]
Order |  | click=false | en=true | [42,800][134,848]
16 |  | click=false | en=true | [977,790][1038,859]
Pieces |  | click=false | en=true | [42,874][154,922]
1829 |  | click=false | en=true | [943,869][1038,927]
The picker gets one sheet, in FEFO order, for every order you tick. |  | click=false | en=true | [42,969][1038,1065]
Picking sheets |  | click=false | en=true | [42,1149][383,1218]
 | PICK-0090, ￼, Open, 0 | click=true | en=true | [45,1275][1035,1464]
PICK-0090 |  | click=false | en=true | [95,1310][939,1368]
￼ |  | click=false | en=true | [95,1368][939,1432]
Open |  | click=false | en=true | [116,1371][215,1429]
0 |  | click=false | en=true | [970,1342][994,1400]
 | PICK-0089, ￼, Picked, 333 | click=true | en=true | [45,1464][1035,1653]
PICK-0089 |  | click=false | en=true | [95,1499][892,1557]
￼ |  | click=false | en=true | [95,1557][892,1621]
Picked |  | click=false | en=true | [116,1560][244,1618]
333 |  | click=false | en=true | [923,1531][994,1589]
 | PICK-0088, ￼, Packed, 168 | click=true | en=true | [45,1653][1035,1842]
PICK-0088 |  | click=false | en=true | [95,1688][892,1746]
￼ |  | click=false | en=true | [95,1746][892,1810]
Packed |  | click=false | en=true | [116,1749][256,1807]
168 |  | click=false | en=true | [923,1720][994,1778]
 | PICK-0087, ￼, Picked, 144 | click=true | en=true | [45,1842][1035,2031]
PICK-0087 |  | click=false | en=true | [95,1877][892,1935]
￼ |  | click=false | en=true | [95,1935][892,1999]
Picked |  | click=false | en=true | [116,1938][244,1996]
144 |  | click=false | en=true | [923,1909][994,1967]
 | PICK-0086, ￼, Packed, 360 | click=true | en=true | [45,2031][1035,2171]
PICK-0086 |  | click=false | en=true | [95,2066][892,2124]
￼ |  | click=false | en=true | [95,2124][892,2171]
Packed |  | click=false | en=true | [116,2127][256,2171]
360 |  | click=false | en=true | [923,2098][994,2156]
 | PICK-0085, ￼, Packed, 366 | click=true | en=true | [45,2220][1035,2171]
PICK-0085 |  | click=false | en=true | [95,2255][892,2171]
￼ |  | click=false | en=true | [95,2313][892,2171]
Packed |  | click=false | en=true | [116,2316][256,2171]
366 |  | click=false | en=true | [923,2287][994,2171]
 | Today | click=true | en=true | [0,2172][270,2337]
Today |  | click=false | en=true | [85,2230][185,2278]
 | Orders | click=true | en=true | [270,2172][540,2337]
Orders |  | click=false | en=true | [349,2230][461,2278]
 | Fulfilment | click=true | en=true | [540,2172][810,2337]
Fulfilment |  | click=false | en=true | [592,2230][758,2278]
 | Billing | click=true | en=true | [810,2172][1080,2337]
Billing |  | click=false | en=true | [893,2230][996,2278]
