 | Sheet PICK-0090 | click=true | en=true | [0,336][1080,2400]
Sheet PICK-0090 |  | click=false | en=true | [42,420][439,489]
State |  | click=false | en=true | [42,521][1038,569]
Open |  | click=false | en=true | [63,582][162,640]
Where |  | click=false | en=true | [42,685][1038,733]
Godown |  | click=false | en=true | [42,743][1038,801]
Picker |  | click=false | en=true | [42,843][1038,891]
— |  | click=false | en=true | [42,901][1038,959]
Pick date |  | click=false | en=true | [42,1002][1038,1050]
13 Sep |  | click=false | en=true | [42,1060][1038,1118]
Orders |  | click=false | en=true | [42,1181][199,1250]
SO-0911 · Mahalaxmi General Stores |  | click=false | en=true | [42,1325][1038,1383]
Confirmed |  | click=false | en=true | [42,1393][1038,1441]
By item |  | click=false | en=true | [42,1526][218,1595]
Campa Cola 2 L |  | click=false | en=true | [42,1670][1038,1728]
RCP20260731 · 0 / 6 pc |  | click=false | en=true | [42,1738][1038,1786]
Campa Cola 2 L |  | click=false | en=true | [42,1851][1038,1909]
B20260902 · 0 / 18 pc |  | click=false | en=true | [42,1919][1038,1967]
 | Start picking | click=true | en=true | [42,2031][1038,2110]
Start picking |  | click=false | en=true | [420,2084][660,2110]
 | Cancel the sheet | click=true | en=true | [42,2228][1038,2110]
Cancel the sheet |  | click=false | en=true | [382,2281][697,2110]
 | Close | click=true | en=true | [42,2151][1038,2316]
Close |  | click=false | en=true | [486,2204][593,2262]
