 | Sheet PICK-0090 | click=true | en=true | [0,336][1080,2400]
Sheet PICK-0090 |  | click=false | en=true | [42,420][439,489]
State |  | click=false | en=true | [42,521][1038,286]
Open |  | click=false | en=true | [63,521][162,357]
Where |  | click=false | en=true | [42,521][1038,450]
Godown |  | click=false | en=true | [42,521][1038,518]
Picker |  | click=false | en=true | [42,560][1038,608]
— |  | click=false | en=true | [42,618][1038,676]
Pick date |  | click=false | en=true | [42,719][1038,767]
13 Sep |  | click=false | en=true | [42,777][1038,835]
Orders |  | click=false | en=true | [42,898][199,967]
SO-0911 · Mahalaxmi General Stores |  | click=false | en=true | [42,1042][1038,1100]
Confirmed |  | click=false | en=true | [42,1110][1038,1158]
By item |  | click=false | en=true | [42,1243][218,1312]
Campa Cola 2 L |  | click=false | en=true | [42,1387][1038,1445]
RCP20260731 · 0 / 6 pc |  | click=false | en=true | [42,1455][1038,1503]
Campa Cola 2 L |  | click=false | en=true | [42,1568][1038,1626]
B20260902 · 0 / 18 pc |  | click=false | en=true | [42,1636][1038,1684]
 | Start picking | click=true | en=true | [42,1748][1038,1913]
Start picking |  | click=false | en=true | [420,1801][660,1859]
 | Cancel the sheet | click=true | en=true | [42,1945][1038,2110]
Cancel the sheet |  | click=false | en=true | [382,1998][697,2056]
 | Close | click=true | en=true | [42,2151][1038,2316]
Close |  | click=false | en=true | [486,2204][593,2262]
