 | Tarsun Enterprise logo | click=false | en=true | [42,198][126,282]
Tarsun Enterprise |  | click=false | en=true | [147,181][556,250]
manager |  | click=false | en=true | [147,250][556,298]
 | More | click=true | en=true | [873,157][1038,322]
⋯ |  | click=false | en=true | [873,205][1038,274]
Updated just now |  | click=false | en=true | [126,357][414,405]
Fulfilment |  | click=false | en=true | [42,449][1038,518]
 | Waves | click=true | en=true | [42,540][374,706]
Waves |  | click=false | en=true | [146,589][270,647]
 | Pick &amp; pack | click=true | en=true | [374,540][706,706]
Pick &amp; pack |  | click=false | en=true | [429,589][650,647]
 | Load-out | click=true | en=true | [706,540][1038,706]
Load-out |  | click=false | en=true | [787,589][957,647]
 | SO-0883, ￼, No, 48 | click=true | en=true | [45,740][1035,101]
SO-0883 |  | click=false | en=true | [95,740][915,5]
￼ |  | click=false | en=true | [95,740][915,69]
No |  | click=false | en=true | [116,740][170,66]
48 |  | click=false | en=true | [946,740][994,37]
Order |  | click=false | en=true | [42,740][134,248]
16 |  | click=false | en=true | [977,740][1038,259]
Pieces |  | click=false | en=true | [42,740][154,322]
1829 |  | click=false | en=true | [943,740][1038,327]
The picker gets one sheet, in FEFO order, for every order you tick. |  | click=false | en=true | [42,740][1038,465]
Picking sheets |  | click=false | en=true | [42,740][383,618]
 | PICK-0090, ￼, Being picked, 0 | click=true | en=true | [45,740][1035,864]
PICK-0090 |  | click=false | en=true | [95,740][939,768]
￼ |  | click=false | en=true | [95,768][939,832]
Being picked |  | click=false | en=true | [116,771][359,829]
0 |  | click=false | en=true | [970,742][994,800]
 | PICK-0089, ￼, Picked, 333 | click=true | en=true | [45,864][1035,1053]
PICK-0089 |  | click=false | en=true | [95,899][892,957]
￼ |  | click=false | en=true | [95,957][892,1021]
Picked |  | click=false | en=true | [116,960][244,1018]
333 |  | click=false | en=true | [923,931][994,989]
 | PICK-0088, ￼, Packed, 168 | click=true | en=true | [45,1053][1035,1242]
PICK-0088 |  | click=false | en=true | [95,1088][892,1146]
￼ |  | click=false | en=true | [95,1146][892,1210]
Packed |  | click=false | en=true | [116,1149][256,1207]
168 |  | click=false | en=true | [923,1120][994,1178]
 | PICK-0087, ￼, Picked, 144 | click=true | en=true | [45,1242][1035,1431]
PICK-0087 |  | click=false | en=true | [95,1277][892,1335]
￼ |  | click=false | en=true | [95,1335][892,1399]
Picked |  | click=false | en=true | [116,1338][244,1396]
144 |  | click=false | en=true | [923,1309][994,1367]
 | PICK-0086, ￼, Packed, 360 | click=true | en=true | [45,1431][1035,1620]
PICK-0086 |  | click=false | en=true | [95,1466][892,1524]
￼ |  | click=false | en=true | [95,1524][892,1588]
Packed |  | click=false | en=true | [116,1527][256,1585]
360 |  | click=false | en=true | [923,1498][994,1556]
 | PICK-0085, ￼, Packed, 366 | click=true | en=true | [45,1620][1035,1809]
PICK-0085 |  | click=false | en=true | [95,1655][892,1713]
￼ |  | click=false | en=true | [95,1713][892,1777]
Packed |  | click=false | en=true | [116,1716][256,1774]
366 |  | click=false | en=true | [923,1687][994,1745]
 | PICK-0084, ￼, Packed, 24 | click=true | en=true | [45,1809][1035,1998]
PICK-0084 |  | click=false | en=true | [95,1844][915,1902]
￼ |  | click=false | en=true | [95,1902][915,1966]
Packed |  | click=false | en=true | [116,1905][256,1963]
24 |  | click=false | en=true | [946,1876][994,1934]
 | PICK-0083, ￼, Picked, 78 | click=true | en=true | [45,1998][1035,2171]
PICK-0083 |  | click=false | en=true | [95,2033][915,2091]
￼ |  | click=false | en=true | [95,2091][915,2155]
Picked |  | click=false | en=true | [116,2094][244,2152]
78 |  | click=false | en=true | [946,2065][994,2123]
 | PICK-0082, ￼, Packed, 35 | click=true | en=true | [45,2187][1035,2171]
PICK-0082 |  | click=false | en=true | [95,2222][915,2171]
￼ |  | click=false | en=true | [95,2280][915,2171]
Packed |  | click=false | en=true | [116,2283][256,2171]
35 |  | click=false | en=true | [946,2254][994,2171]
 | PICK-0081, ￼, Packed, 6 | click=true | en=true | [45,2376][1035,2171]
 | Today | click=true | en=true | [0,2172][270,2337]
Today |  | click=false | en=true | [85,2230][185,2278]
 | Orders | click=true | en=true | [270,2172][540,2337]
Orders |  | click=false | en=true | [349,2230][461,2278]
 | Fulfilment | click=true | en=true | [540,2172][810,2337]
Fulfilment |  | click=false | en=true | [592,2230][758,2278]
 | Billing | click=true | en=true | [810,2172][1080,2337]
Billing |  | click=false | en=true | [893,2230][996,2278]
