 | Tarsun Enterprise logo | click=false | en=true | [42,198][126,282]
Tarsun Enterprise |  | click=false | en=true | [147,181][556,250]
manager |  | click=false | en=true | [147,250][556,298]
 | More | click=true | en=true | [873,157][1038,322]
⋯ |  | click=false | en=true | [873,205][1038,274]
Updated 7 min ago |  | click=false | en=true | [126,357][438,405]
Load-out &amp; challans |  | click=false | en=true | [42,449][1038,518]
 | Waves | click=true | en=true | [42,540][374,706]
Waves |  | click=false | en=true | [146,589][270,647]
 | Pick &amp; pack | click=true | en=true | [374,540][706,706]
Pick &amp; pack |  | click=false | en=true | [429,589][650,647]
 | Load-out | click=true | en=true | [706,540][1038,706]
Load-out |  | click=false | en=true | [787,589][957,647]
 | Load sheets | click=true | en=true | [47,734][367,899]
Load sheets |  | click=false | en=true | [91,787][321,845]
 | Challans | click=true | en=true | [372,734][624,899]
Challans |  | click=false | en=true | [416,787][579,845]
Your approval IS the PIN, and it is given here — nothing is typed on the warehouse phone but the count. |  | click=false | en=true | [42,979][1038,1075]
Not out of the godown yet |  | click=false | en=true | [42,1138][639,1207]
 | 13 Sep, ￼, 1375 rupees | click=true | en=true | [45,1264][1035,1453]
13 Sep |  | click=false | en=true | [95,1299][753,1357]
￼ |  | click=false | en=true | [95,1357][753,1421]
1,375.00 | 1375 rupees | click=false | en=true | [784,1325][994,1394]
Date |  | click=false | en=true | [42,1552][119,1600]
1 |  | click=false | en=true | [1007,1542][1038,1611]
Checked out and cancelled |  | click=false | en=true | [42,1694][664,1763]
 | 28 Jul, ￼, Confirmed, 69729 rupees | click=true | en=true | [45,1820][1035,2009]
28 Jul |  | click=false | en=true | [95,1855][723,1913]
￼ |  | click=false | en=true | [95,1913][723,1977]
Confirmed |  | click=false | en=true | [116,1916][314,1974]
69,729.00 | 69729 rupees | click=false | en=true | [754,1881][994,1950]
 | 4 Aug, ￼, Confirmed, 128158 rupees | click=true | en=true | [45,2009][1035,2171]
4 Aug |  | click=false | en=true | [95,2044][680,2102]
￼ |  | click=false | en=true | [95,2102][680,2166]
Confirmed |  | click=false | en=true | [116,2105][314,2163]
1,28,158.00 | 128158 rupees | click=false | en=true | [711,2070][994,2139]
 | 3 Sep, ￼, Confirmed, 107223 rupees | click=true | en=true | [45,2198][1035,2171]
3 Sep |  | click=false | en=true | [95,2233][680,2171]
￼ |  | click=false | en=true | [95,2291][680,2171]
Confirmed |  | click=false | en=true | [116,2294][314,2171]
1,07,223.00 | 107223 rupees | click=false | en=true | [711,2259][994,2171]
 | 21 Jul, ￼, Confirmed, 94247 rupees | click=true | en=true | [45,2387][1035,2171]
 | Today | click=true | en=true | [0,2172][270,2337]
Today |  | click=false | en=true | [85,2230][185,2278]
 | Orders | click=true | en=true | [270,2172][540,2337]
Orders |  | click=false | en=true | [349,2230][461,2278]
 | Fulfilment | click=true | en=true | [540,2172][810,2337]
Fulfilment |  | click=false | en=true | [592,2230][758,2278]
 | Billing | click=true | en=true | [810,2172][1080,2337]
Billing |  | click=false | en=true | [893,2230][996,2278]
