 | Load sheet · MH-05-CD-5678 | click=true | en=true | [0,336][1080,2400]
Load sheet · MH-05-CD-5678 |  | click=false | en=true | [42,420][725,489]
State |  | click=false | en=true | [42,521][1038,569]
Approved · the godown may check it out |  | click=false | en=true | [63,582][816,640]
From |  | click=false | en=true | [42,685][1038,733]
Godown |  | click=false | en=true | [42,743][1038,801]
To |  | click=false | en=true | [42,843][1038,891]
Vehicle MH-05-CD-5678 |  | click=false | en=true | [42,901][1038,959]
Packages |  | click=false | en=true | [42,1002][1038,1050]
1 |  | click=false | en=true | [42,1060][1038,1118]
Orders |  | click=false | en=true | [42,1160][1038,1208]
1 |  | click=false | en=true | [42,1218][1038,1276]
On board ₹ |  | click=false | en=true | [42,1319][1038,1367]
₹1,375.00 | 1375 rupees | click=false | en=true | [42,1377][1038,1446]
Approved by Vikas Kadam |  | click=false | en=true | [42,1488][1038,1536]
13 Sep |  | click=false | en=true | [42,1546][1038,1604]
Orders |  | click=false | en=true | [42,1668][199,1737]
1. Mahalaxmi General Stores |  | click=false | en=true | [42,1812][1038,1870]
SO-0899 · INV/9009 |  | click=false | en=true | [42,1880][1038,1928]
 | Approve the load-out | click=true | en=false | [42,1992][1038,2109]
Approve the load-out |  | click=false | en=true | [342,2045][737,2103]
This sheet is already approved |  | click=false | en=true | [42,2167][1038,2109]
 | Cancel the sheet | click=true | en=true | [42,2247][1038,2109]
Cancel the sheet |  | click=false | en=true | [382,2300][697,2109]
 | Close | click=true | en=true | [42,2151][1038,2317]
Close |  | click=false | en=true | [486,2204][593,2262]
