 | Load sheet · MH-05-CD-5678 | click=true | en=true | [0,336][1080,2400]
Load sheet · MH-05-CD-5678 |  | click=false | en=true | [42,420][725,489]
State |  | click=false | en=true | [42,521][1038,265]
Approved · the godown may check it out |  | click=false | en=true | [63,521][816,336]
From |  | click=false | en=true | [42,521][1038,429]
Godown |  | click=false | en=true | [42,521][1038,497]
To |  | click=false | en=true | [42,539][1038,587]
Vehicle MH-05-CD-5678 |  | click=false | en=true | [42,597][1038,655]
Packages |  | click=false | en=true | [42,698][1038,746]
1 |  | click=false | en=true | [42,756][1038,814]
Orders |  | click=false | en=true | [42,856][1038,904]
1 |  | click=false | en=true | [42,914][1038,972]
On board ₹ |  | click=false | en=true | [42,1015][1038,1063]
₹1,375.00 | 1375 rupees | click=false | en=true | [42,1073][1038,1142]
Approved by Vikas Kadam |  | click=false | en=true | [42,1184][1038,1232]
13 Sep |  | click=false | en=true | [42,1242][1038,1300]
Orders |  | click=false | en=true | [42,1364][199,1433]
1. Mahalaxmi General Stores |  | click=false | en=true | [42,1508][1038,1566]
SO-0899 · INV/9009 |  | click=false | en=true | [42,1576][1038,1624]
 | Approve the load-out | click=true | en=false | [42,1688][1038,1853]
Approve the load-out |  | click=false | en=true | [342,1741][737,1799]
This sheet is already approved |  | click=false | en=true | [42,1863][1038,1911]
 | Cancel the sheet | click=true | en=true | [42,1943][1038,2109]
Cancel the sheet |  | click=false | en=true | [382,1996][697,2054]
 | Close | click=true | en=true | [42,2151][1038,2317]
Close |  | click=false | en=true | [486,2204][593,2262]
