 | More | click=true | en=true | [0,336][1080,2400]
More |  | click=false | en=true | [42,420][164,489]
Search shops, bills, orders |  | click=true | en=true | [42,521][1038,688]
 | Inbound | click=true | en=true | [42,707][1038,872]
Inbound |  | click=false | en=true | [73,760][1006,818]
 | Money | click=true | en=true | [42,873][1038,1039]
Money |  | click=false | en=true | [73,926][1006,984]
 | Registers | click=true | en=true | [42,1038][1038,1203]
Registers |  | click=false | en=true | [73,1091][1006,1149]
 | Shops | click=true | en=true | [42,1204][1038,1370]
Shops |  | click=false | en=true | [73,1257][1006,1315]
 | Stock | click=true | en=true | [42,1369][1038,1534]
Stock |  | click=false | en=true | [73,1422][1006,1480]
 | Prices | click=true | en=true | [42,1534][1038,1699]
Prices |  | click=false | en=true | [73,1587][1006,1645]
 | Messages | click=true | en=true | [42,1700][1038,1866]
Messages |  | click=false | en=true | [73,1753][1006,1811]
 | My account | click=true | en=true | [42,1865][1038,2030]
My account |  | click=false | en=true | [73,1918][1006,1976]
 | Change password | click=true | en=true | [42,2030][1038,2109]
Change password |  | click=false | en=true | [73,2083][1006,2109]
 | Sign out | click=true | en=true | [42,2196][1038,2109]
Sign out |  | click=false | en=true | [73,2249][1006,2109]
 | Close | click=true | en=true | [42,2151][1038,2316]
Close |  | click=false | en=true | [486,2204][593,2262]
