 | Tarsun Enterprise logo | click=false | en=true | [42,198][126,282]
Tarsun Enterprise |  | click=false | en=true | [147,181][556,250]
manager |  | click=false | en=true | [147,250][556,298]
 | More | click=true | en=true | [873,157][1038,322]
⋯ |  | click=false | en=true | [873,205][1038,274]
Updated 9 min ago |  | click=false | en=true | [126,357][438,405]
7.14 edits per ten lines |  | click=false | en=true | [42,449][1038,497]
Documents to review |  | click=false | en=true | [42,497][1038,566]
 | Supplier bills | click=true | en=true | [42,588][374,754]
Supplier bills |  | click=false | en=true | [85,637][330,695]
 | Documents | click=true | en=true | [374,588][706,754]
Documents |  | click=false | en=true | [432,637][647,695]
 | Gate count | click=true | en=true | [706,588][1038,754]
Gate count |  | click=false | en=true | [769,637][975,695]
 | Guiltfree Industries — Gurugram, ￼, 1, 9854 rupees | click=true | en=true | [45,833][1035,1031]
Guiltfree Industries — Gurugram |  | click=false | en=true | [95,867][753,925]
￼ |  | click=false | en=true | [95,925][753,1000]
1 |  | click=false | en=true | [116,928][147,997]
9,854.00 | 9854 rupees | click=false | en=true | [784,899][994,968]
 | Alan's Food Products — Bhiwandi, ￼, Needs review, 10896 rupees | click=true | en=true | [45,1032][1035,1221]
Alan's Food Products — Bhiwandi |  | click=false | en=true | [95,1067][723,1125]
￼ |  | click=false | en=true | [95,1125][723,1189]
Needs review |  | click=false | en=true | [116,1128][370,1186]
10,896.00 | 10896 rupees | click=false | en=true | [754,1093][994,1162]
 | Reliance Consumer Products — Kalyan Depot, ￼, Extracted, 345530 rupees | click=true | en=true | [45,1221][1035,1467]
Reliance Consumer Products — Kalyan Depot |  | click=false | en=true | [95,1255][680,1371]
￼ |  | click=false | en=true | [95,1371][680,1435]
Extracted |  | click=false | en=true | [116,1374][295,1432]
3,45,530.00 | 345530 rupees | click=false | en=true | [711,1311][994,1380]
 | Guiltfree Industries — Gurugram, ￼, 2, 21773 rupees | click=true | en=true | [45,1466][1035,1664]
Guiltfree Industries — Gurugram |  | click=false | en=true | [95,1500][723,1558]
￼ |  | click=false | en=true | [95,1558][723,1633]
2 |  | click=false | en=true | [116,1561][147,1630]
21,773.00 | 21773 rupees | click=false | en=true | [754,1532][994,1601]
 | Guru Kripa Agencies (Balaji Super-Stockist), ￼, Extracted, 44218 rupees | click=true | en=true | [45,1665][1035,1911]
Guru Kripa Agencies (Balaji Super-Stockist) |  | click=false | en=true | [95,1699][723,1815]
￼ |  | click=false | en=true | [95,1815][723,1879]
Extracted |  | click=false | en=true | [116,1818][295,1876]
44,218.00 | 44218 rupees | click=false | en=true | [754,1755][994,1824]
 | MOM Foods — Bikaner, ￼, Failed, — | click=true | en=true | [45,1911][1035,2100]
MOM Foods — Bikaner |  | click=false | en=true | [95,1946][922,2004]
￼ |  | click=false | en=true | [95,2004][922,2068]
Failed |  | click=false | en=true | [116,2007][230,2065]
— |  | click=false | en=true | [953,1972][994,2041]
 | Guru Kripa Agencies (Balaji Super-Stockist), ￼, 1, 44218 rupees | click=true | en=true | [45,2100][1035,2171]
Guru Kripa Agencies (Balaji Super-Stockist) |  | click=false | en=true | [95,2134][723,2171]
￼ |  | click=false | en=true | [95,2250][723,2171]
1 |  | click=false | en=true | [116,2253][147,2171]
44,218.00 | 44218 rupees | click=false | en=true | [754,2195][994,2171]
 | Today | click=true | en=true | [0,2172][270,2337]
Today |  | click=false | en=true | [85,2230][185,2278]
 | Orders | click=true | en=true | [270,2172][540,2337]
Orders |  | click=false | en=true | [349,2230][461,2278]
 | Fulfilment | click=true | en=true | [540,2172][810,2337]
Fulfilment |  | click=false | en=true | [592,2230][758,2278]
 | Billing | click=true | en=true | [810,2172][1080,2337]
Billing |  | click=false | en=true | [893,2230][996,2278]
