Make a picking sheet |  | click=false | en=true | [94,815][985,884]
1 orders · 390 pc |  | click=false | en=true | [95,916][986,974]
The picker gets one sheet, in FEFO order, for every order you tick. |  | click=false | en=true | [95,1005][986,1101]
Something could not be completed. Try again. |  | click=false | en=true | [95,1133][986,1191]
 | busy | click=true | en=true | [95,1223][986,1389]
Make a picking sheet |  | click=false | en=true | [341,1276][740,1334]
 | Cancel | click=true | en=true | [95,1419][986,1584]
Cancel |  | click=false | en=true | [476,1472][605,1530]
 | !, Open debugger to view warnings. | click=true | en=true | [26,2146][1054,2271]
! |  | click=false | en=true | [73,2185][100,2233]
Open debugger to view warnings. |  | click=false | en=true | [160,2180][957,2240]
