 | Tarsun Enterprise logo | click=false | en=true | [42,198][126,282]
Tarsun Enterprise |  | click=false | en=true | [147,181][556,250]
manager |  | click=false | en=true | [147,250][556,298]
 | More | click=true | en=true | [873,157][1038,322]
⋯ |  | click=false | en=true | [873,205][1038,274]
Updated 16 min ago |  | click=false | en=true | [126,357][459,405]
Day-end |  | click=false | en=true | [42,449][1038,518]
 | Receipts | click=true | en=true | [42,540][374,706]
Receipts |  | click=false | en=true | [125,589][290,647]
 | Day-end | click=true | en=true | [374,540][706,706]
Day-end |  | click=false | en=true | [462,589][618,647]
 | Claims | click=true | en=true | [706,540][1038,706]
Claims |  | click=false | en=true | [807,589][937,647]
CASH TO BANK |  | click=false | en=true | [73,816][508,864]
CHEQUES IN HAND |  | click=false | en=true | [574,816][1007,864]
more than 200 rows |  | click=false | en=true | [73,933][508,1071]
₹41,07,486.52 | 4107486 rupees 52 paise | click=false | en=true | [74,865][415,934]
₹1,46,305.98 | 146305 rupees 98 paise | click=false | en=true | [574,865][884,934]
4 rows |  | click=false | en=true | [574,933][1007,1002]
TRIPS COMING BACK |  | click=false | en=true | [73,1137][508,1185]
0 |  | click=false | en=true | [74,1185][105,1254]
Cheques in hand |  | click=false | en=true | [42,1372][428,1441]
Tap a cheque the bank returned to mark it bounced |  | click=false | en=true | [42,1451][1038,1499]
 | Dnyandeep Stores, RCPT-CHQ-0001 · Bank of Maharashtra, 29952 rupees | click=true | en=true | [42,1553][1038,1742]
Dnyandeep Stores |  | click=false | en=true | [92,1596][698,1654]
RCPT-CHQ-0001 · Bank of Maharashtra |  | click=false | en=true | [92,1654][698,1702]
₹29,952.00 | 29952 rupees | click=false | en=true | [728,1614][996,1683]
 | Prerna Super Market, RCPT-0676 · Bank of Maharashtra, 13299 rupees | click=true | en=true | [42,1763][1038,1952]
Prerna Super Market |  | click=false | en=true | [92,1806][698,1864]
RCPT-0676 · Bank of Maharashtra |  | click=false | en=true | [92,1864][698,1912]
₹13,299.00 | 13299 rupees | click=false | en=true | [728,1824][996,1893]
 | Prerna Super Market, RCPT-0663 · HDFC Bank, 73598 rupees 98 paise | click=true | en=true | [42,1973][1038,2162]
Prerna Super Market |  | click=false | en=true | [92,2016][698,2074]
RCPT-0663 · HDFC Bank |  | click=false | en=true | [92,2074][698,2122]
₹73,598.98 | 73598 rupees 98 paise | click=false | en=true | [728,2034][996,2103]
 | Rameshwar General Store, RCPT-CHQ-0002 · HDFC Bank, 29456 rupees | click=true | en=true | [42,2183][1038,2171]
Rameshwar General Store |  | click=false | en=true | [92,2226][698,2171]
RCPT-CHQ-0002 · HDFC Bank |  | click=false | en=true | [92,2284][698,2171]
₹29,456.00 | 29456 rupees | click=false | en=true | [728,2244][996,2171]
 | Today | click=true | en=true | [0,2172][270,2337]
Today |  | click=false | en=true | [85,2230][185,2278]
 | Orders | click=true | en=true | [270,2172][540,2337]
Orders |  | click=false | en=true | [349,2230][461,2278]
 | Fulfilment | click=true | en=true | [540,2172][810,2337]
Fulfilment |  | click=false | en=true | [592,2230][758,2278]
 | Billing | click=true | en=true | [810,2172][1080,2337]
Billing |  | click=false | en=true | [893,2230][996,2278]
