 | Tarsun Enterprise logo | click=false | en=true | [42,198][126,282]
Tarsun Enterprise |  | click=false | en=true | [147,181][556,250]
manager |  | click=false | en=true | [147,250][556,298]
 | More | click=true | en=true | [873,157][1038,322]
⋯ |  | click=false | en=true | [873,205][1038,274]
Updated 16 min ago |  | click=false | en=true | [126,357][459,405]
Day-end |  | click=false | en=true | [42,449][1038,518]
 | Receipts | click=true | en=true | [42,540][374,706]
Receipts |  | click=false | en=true | [125,589][290,647]
 | Day-end | click=true | en=true | [374,540][706,706]
Day-end |  | click=false | en=true | [462,589][618,647]
 | Claims | click=true | en=true | [706,540][1038,706]
Claims |  | click=false | en=true | [807,589][937,647]
 | RCPT-0698, ￼, No, 7856 rupees | click=true | en=true | [45,740][1035,148]
RCPT-0698 |  | click=false | en=true | [95,740][753,52]
￼ |  | click=false | en=true | [95,740][753,116]
No |  | click=false | en=true | [116,740][170,113]
7,856.00 | 7856 rupees | click=false | en=true | [784,740][994,89]
 | RCPT-0697, ￼, No, 1 rupees | click=true | en=true | [45,740][1035,337]
RCPT-0697 |  | click=false | en=true | [95,740][857,241]
￼ |  | click=false | en=true | [95,740][857,305]
No |  | click=false | en=true | [116,740][170,302]
1.00 | 1 rupees | click=false | en=true | [888,740][994,278]
 | RCPT-0696, ￼, No, 9182 rupees | click=true | en=true | [45,740][1035,526]
RCPT-0696 |  | click=false | en=true | [95,740][753,430]
￼ |  | click=false | en=true | [95,740][753,494]
No |  | click=false | en=true | [116,740][170,491]
9,182.00 | 9182 rupees | click=false | en=true | [784,740][994,467]
 | RCPT-VAN-0001, ￼, No, 12569 rupees | click=true | en=true | [45,740][1035,715]
RCPT-VAN-0001 |  | click=false | en=true | [95,740][723,619]
￼ |  | click=false | en=true | [95,740][723,683]
No |  | click=false | en=true | [116,740][170,680]
12,569.00 | 12569 rupees | click=false | en=true | [754,740][994,656]
 | RCPT-0698, ￼, No, 98992 rupees 72 paise | click=true | en=true | [45,740][1035,904]
RCPT-0698 |  | click=false | en=true | [95,750][723,808]
￼ |  | click=false | en=true | [95,808][723,872]
No |  | click=false | en=true | [116,811][170,869]
98,992.72 | 98992 rupees 72 paise | click=false | en=true | [754,776][994,845]
 | RCPT-0696, ￼, No, 6990 rupees | click=true | en=true | [45,904][1035,1093]
RCPT-0696 |  | click=false | en=true | [95,939][753,997]
￼ |  | click=false | en=true | [95,997][753,1061]
No |  | click=false | en=true | [116,1000][170,1058]
6,990.00 | 6990 rupees | click=false | en=true | [784,965][994,1034]
 | RCPT-0691, ￼, No, 3716 rupees | click=true | en=true | [45,1093][1035,1282]
RCPT-0691 |  | click=false | en=true | [95,1128][753,1186]
￼ |  | click=false | en=true | [95,1186][753,1250]
No |  | click=false | en=true | [116,1189][170,1247]
3,716.00 | 3716 rupees | click=false | en=true | [784,1154][994,1223]
 | RCPT-0690, ￼, No, 1818 rupees | click=true | en=true | [45,1282][1035,1471]
RCPT-0690 |  | click=false | en=true | [95,1317][753,1375]
￼ |  | click=false | en=true | [95,1375][753,1439]
No |  | click=false | en=true | [116,1378][170,1436]
1,818.00 | 1818 rupees | click=false | en=true | [784,1343][994,1412]
 | RCPT-0689, ￼, No, 5281 rupees | click=true | en=true | [45,1471][1035,1660]
RCPT-0689 |  | click=false | en=true | [95,1506][753,1564]
￼ |  | click=false | en=true | [95,1564][753,1628]
No |  | click=false | en=true | [116,1567][170,1625]
5,281.00 | 5281 rupees | click=false | en=true | [784,1532][994,1601]
 | RCPT-0688, ￼, No, 4914 rupees | click=true | en=true | [45,1660][1035,1849]
RCPT-0688 |  | click=false | en=true | [95,1695][753,1753]
￼ |  | click=false | en=true | [95,1753][753,1817]
No |  | click=false | en=true | [116,1756][170,1814]
4,914.00 | 4914 rupees | click=false | en=true | [784,1721][994,1790]
 | RCPT-0687, ￼, No, 4443 rupees | click=true | en=true | [45,1849][1035,2038]
RCPT-0687 |  | click=false | en=true | [95,1884][753,1942]
￼ |  | click=false | en=true | [95,1942][753,2006]
No |  | click=false | en=true | [116,1945][170,2003]
4,443.00 | 4443 rupees | click=false | en=true | [784,1910][994,1979]
 | RCPT-CHQ-0001, ￼, No, 29952 rupees | click=true | en=true | [45,2038][1035,2171]
RCPT-CHQ-0001 |  | click=false | en=true | [95,2073][723,2131]
￼ |  | click=false | en=true | [95,2131][723,2171]
No |  | click=false | en=true | [116,2134][170,2171]
29,952.00 | 29952 rupees | click=false | en=true | [754,2099][994,2168]
 | RCPT-9004, ￼, No, 582 rupees | click=true | en=true | [45,2227][1035,2171]
RCPT-9004 |  | click=false | en=true | [95,2262][796,2171]
￼ |  | click=false | en=true | [95,2320][796,2171]
No |  | click=false | en=true | [116,2323][170,2171]
582.00 | 582 rupees | click=false | en=true | [827,2288][994,2171]
 | Today | click=true | en=true | [0,2172][270,2337]
Today |  | click=false | en=true | [85,2230][185,2278]
 | Orders | click=true | en=true | [270,2172][540,2337]
Orders |  | click=false | en=true | [349,2230][461,2278]
 | Fulfilment | click=true | en=true | [540,2172][810,2337]
Fulfilment |  | click=false | en=true | [592,2230][758,2278]
 | Billing | click=true | en=true | [810,2172][1080,2337]
Billing |  | click=false | en=true | [893,2230][996,2278]
