 | Tarsun Enterprise logo | click=false | en=true | [42,198][126,282]
Tarsun Enterprise |  | click=false | en=true | [147,181][556,250]
manager |  | click=false | en=true | [147,250][556,298]
 | More | click=true | en=true | [873,157][1038,322]
⋯ |  | click=false | en=true | [873,205][1038,274]
Updated 16 min ago |  | click=false | en=true | [126,357][459,405]
Day-end |  | click=false | en=true | [42,449][1038,518]
 | Receipts | click=true | en=true | [42,540][374,706]
Receipts |  | click=false | en=true | [125,589][290,647]
 | Day-end | click=true | en=true | [374,540][706,706]
Day-end |  | click=false | en=true | [462,589][618,647]
 | Claims | click=true | en=true | [706,540][1038,706]
Claims |  | click=false | en=true | [807,589][937,647]
 | RCPT-0698, ￼, No, 7856 rupees | click=true | en=true | [45,740][1035,90]
￼ |  | click=false | en=true | [95,740][753,58]
No |  | click=false | en=true | [116,740][170,55]
7,856.00 | 7856 rupees | click=false | en=true | [784,740][994,31]
 | RCPT-0697, ￼, No, 1 rupees | click=true | en=true | [45,740][1035,279]
RCPT-0697 |  | click=false | en=true | [95,740][857,183]
￼ |  | click=false | en=true | [95,740][857,247]
No |  | click=false | en=true | [116,740][170,244]
1.00 | 1 rupees | click=false | en=true | [888,740][994,220]
 | RCPT-0696, ￼, No, 9182 rupees | click=true | en=true | [45,740][1035,468]
RCPT-0696 |  | click=false | en=true | [95,740][753,372]
￼ |  | click=false | en=true | [95,740][753,436]
No |  | click=false | en=true | [116,740][170,433]
9,182.00 | 9182 rupees | click=false | en=true | [784,740][994,409]
 | RCPT-VAN-0001, ￼, No, 12569 rupees | click=true | en=true | [45,740][1035,657]
RCPT-VAN-0001 |  | click=false | en=true | [95,740][723,561]
￼ |  | click=false | en=true | [95,740][723,625]
No |  | click=false | en=true | [116,740][170,622]
12,569.00 | 12569 rupees | click=false | en=true | [754,740][994,598]
 | RCPT-0698, ￼, No, 98992 rupees 72 paise | click=true | en=true | [45,740][1035,846]
RCPT-0698 |  | click=false | en=true | [95,740][723,750]
￼ |  | click=false | en=true | [95,750][723,814]
No |  | click=false | en=true | [116,753][170,811]
98,992.72 | 98992 rupees 72 paise | click=false | en=true | [754,740][994,787]
 | RCPT-0696, ￼, No, 6990 rupees | click=true | en=true | [45,846][1035,1035]
RCPT-0696 |  | click=false | en=true | [95,881][753,939]
￼ |  | click=false | en=true | [95,939][753,1003]
No |  | click=false | en=true | [116,942][170,1000]
6,990.00 | 6990 rupees | click=false | en=true | [784,907][994,976]
 | RCPT-0691, ￼, No, 3716 rupees | click=true | en=true | [45,1035][1035,1224]
RCPT-0691 |  | click=false | en=true | [95,1070][753,1128]
￼ |  | click=false | en=true | [95,1128][753,1192]
No |  | click=false | en=true | [116,1131][170,1189]
3,716.00 | 3716 rupees | click=false | en=true | [784,1096][994,1165]
 | RCPT-0690, ￼, Yes, 1818 rupees | click=true | en=true | [45,1224][1035,1413]
RCPT-0690 |  | click=false | en=true | [95,1259][753,1317]
￼ |  | click=false | en=true | [95,1317][753,1381]
Yes |  | click=false | en=true | [116,1320][185,1378]
1,818.00 | 1818 rupees | click=false | en=true | [784,1285][994,1354]
 | RCPT-0689, ￼, No, 5281 rupees | click=true | en=true | [45,1413][1035,1602]
RCPT-0689 |  | click=false | en=true | [95,1448][753,1506]
￼ |  | click=false | en=true | [95,1506][753,1570]
No |  | click=false | en=true | [116,1509][170,1567]
5,281.00 | 5281 rupees | click=false | en=true | [784,1474][994,1543]
 | RCPT-0688, ￼, No, 4914 rupees | click=true | en=true | [45,1602][1035,1791]
RCPT-0688 |  | click=false | en=true | [95,1637][753,1695]
￼ |  | click=false | en=true | [95,1695][753,1759]
No |  | click=false | en=true | [116,1698][170,1756]
4,914.00 | 4914 rupees | click=false | en=true | [784,1663][994,1732]
 | RCPT-0687, ￼, No, 4443 rupees | click=true | en=true | [45,1791][1035,1862]
RCPT-0687 |  | click=false | en=true | [95,1826][753,1862]
￼ |  | click=false | en=true | [95,1884][753,1862]
No |  | click=false | en=true | [116,1887][170,1862]
4,443.00 | 4443 rupees | click=false | en=true | [784,1852][994,1862]
 | RCPT-CHQ-0001, ￼, No, 29952 rupees | click=true | en=true | [45,1980][1035,1862]
RCPT-CHQ-0001 |  | click=false | en=true | [95,2015][723,1862]
￼ |  | click=false | en=true | [95,2073][723,1862]
No |  | click=false | en=true | [116,2076][170,1862]
29,952.00 | 29952 rupees | click=false | en=true | [754,2041][994,1862]
 | RCPT-9004, ￼, No, 582 rupees | click=true | en=true | [45,2169][1035,1862]
RCPT-9004 |  | click=false | en=true | [95,2204][796,1862]
￼ |  | click=false | en=true | [95,2262][796,1862]
No |  | click=false | en=true | [116,2265][170,1862]
582.00 | 582 rupees | click=false | en=true | [827,2230][994,1862]
 | RCPT-0681, ￼, No, 31416 rupees | click=true | en=true | [45,2358][1035,1862]
RCPT-0681 |  | click=false | en=true | [95,2393][723,1862]
1 receipts · ₹1,818.00 |  | click=false | en=true | [42,1895][1038,1953]
 | Bank this batch | click=true | en=true | [42,1974][1038,2139]
Bank this batch |  | click=false | en=true | [394,2027][686,2085]
 | Today | click=true | en=true | [0,2172][270,2337]
Today |  | click=false | en=true | [85,2230][185,2278]
 | Orders | click=true | en=true | [270,2172][540,2337]
Orders |  | click=false | en=true | [349,2230][461,2278]
 | Fulfilment | click=true | en=true | [540,2172][810,2337]
Fulfilment |  | click=false | en=true | [592,2230][758,2278]
 | Billing | click=true | en=true | [810,2172][1080,2337]
Billing |  | click=false | en=true | [893,2230][996,2278]
