 | Receipt RCPT-0691 | click=true | en=true | [0,336][1080,2400]
Receipt RCPT-0691 |  | click=false | en=true | [42,420][495,489]
Shop |  | click=false | en=true | [42,521][1038,569]
Chavan Kirana Stores |  | click=false | en=true | [42,579][1038,637]
Mode |  | click=false | en=true | [42,680][1038,728]
Cash |  | click=false | en=true | [42,738][1038,796]
Amount ₹ |  | click=false | en=true | [42,838][1038,886]
₹3,716.00 | 3716 rupees | click=false | en=true | [42,896][1038,965]
On account ₹ |  | click=false | en=true | [42,1008][1038,1056]
₹3,716.00 | 3716 rupees | click=false | en=true | [42,1066][1038,1135]
State |  | click=false | en=true | [42,1177][1038,1225]
Collected |  | click=false | en=true | [63,1238][241,1296]
Put against |  | click=false | en=true | [42,1362][305,1431]
 | Print the receipt | click=true | en=true | [42,1526][1038,1691]
Print the receipt |  | click=false | en=true | [388,1579][691,1637]
 | Bank it | click=true | en=true | [42,1733][1038,1899]
Bank it |  | click=false | en=true | [474,1786][605,1844]
 | Mark bounced | click=true | en=false | [42,1941][1038,2106]
Mark bounced |  | click=false | en=true | [405,1994][675,2052]
Only a cheque in hand or banked can bounce |  | click=false | en=true | [42,2116][1038,2109]
 | Reverse the receipt | click=true | en=true | [42,2207][1038,2109]
Reverse the receipt |  | click=false | en=true | [358,2260][722,2109]
 | Close | click=true | en=true | [42,2151][1038,2317]
Close |  | click=false | en=true | [486,2204][593,2262]
