 | Receipt RCPT-CHQ-0001 | click=true | en=true | [0,336][1080,2400]
Receipt RCPT-CHQ-0001 |  | click=false | en=true | [42,420][621,489]
Shop |  | click=false | en=true | [42,521][1038,176]
Dnyandeep Stores |  | click=false | en=true | [42,521][1038,244]
Mode |  | click=false | en=true | [42,521][1038,335]
Cheque |  | click=false | en=true | [42,521][1038,403]
Amount ₹ |  | click=false | en=true | [42,521][1038,493]
₹29,952.00 | 29952 rupees | click=false | en=true | [42,521][1038,572]
On account ₹ |  | click=false | en=true | [42,615][1038,663]
₹0.00 | 0 rupees | click=false | en=true | [42,673][1038,742]
State |  | click=false | en=true | [42,784][1038,832]
Collected |  | click=false | en=true | [63,845][241,903]
Put against |  | click=false | en=true | [42,969][305,1038]
 | d462ab26-a8c0-7af5-a45d-37bda8bab2df, 29952 rupees | click=true | en=false | [42,1092][1038,1281]
d462ab26-a8c0-7af5-a45d-37bda8bab2df |  | click=false | en=true | [92,1130][698,1246]
₹29,952.00 | 29952 rupees | click=false | en=true | [728,1153][996,1222]
 | Print the receipt | click=true | en=true | [42,1322][1038,1487]
Print the receipt |  | click=false | en=true | [388,1375][691,1433]
 | Bank it | click=true | en=true | [42,1529][1038,1695]
Bank it |  | click=false | en=true | [474,1582][605,1640]
 | Mark bounced | click=true | en=true | [42,1737][1038,1902]
Mark bounced |  | click=false | en=true | [405,1790][675,1848]
 | Reverse the receipt | click=true | en=true | [42,1944][1038,2109]
Reverse the receipt |  | click=false | en=true | [358,1997][722,2055]
 | Close | click=true | en=true | [42,2151][1038,2317]
Close |  | click=false | en=true | [486,2204][593,2262]
