Cheque returned |  | click=false | en=true | [94,565][985,634]
₹29,952.00 | 29952 rupees | click=false | en=true | [95,666][986,735]
The shop's outstanding comes back exactly as it was. |  | click=false | en=true | [95,766][986,814]
What did the bank say? |  | click=false | en=true | [95,846][986,894]
Bank charges |  | click=false | en=true | [95,1159][986,1207]
 | — | click=true | en=true | [95,1218][986,1383]
— |  | click=false | en=true | [129,1266][170,1335]
 | Mark bounced | click=true | en=true | [95,1472][986,1638]
Mark bounced |  | click=false | en=true | [405,1525][675,1583]
 | Cancel | click=true | en=true | [95,1669][986,1835]
Cancel |  | click=false | en=true | [476,1722][605,1780]
