 | Tarsun Enterprise logo | click=false | en=true | [42,198][126,282]
Tarsun Enterprise |  | click=false | en=true | [147,181][556,250]
accountant |  | click=false | en=true | [147,250][556,298]
 | More | click=true | en=true | [873,157][1038,322]
⋯ |  | click=false | en=true | [873,205][1038,274]
Updated 2 min ago |  | click=false | en=true | [126,357][438,405]
Day-end |  | click=false | en=true | [42,449][1038,518]
 | Receipts | click=true | en=true | [42,540][374,706]
Receipts |  | click=false | en=true | [125,589][290,647]
 | Day-end | click=true | en=true | [374,540][706,706]
Day-end |  | click=false | en=true | [462,589][618,647]
 | Claims | click=true | en=true | [706,540][1038,706]
Claims |  | click=false | en=true | [807,589][937,647]
 | RCPT-0701, ￼, No, 2843 rupees | click=true | en=true | [45,740][1035,106]
RCPT-0701 |  | click=false | en=true | [95,740][753,10]
￼ |  | click=false | en=true | [95,740][753,74]
No |  | click=false | en=true | [116,740][170,71]
2,843.00 | 2843 rupees | click=false | en=true | [784,740][994,47]
 | RCPT-0698, ￼, No, 7856 rupees | click=true | en=true | [45,740][1035,295]
RCPT-0698 |  | click=false | en=true | [95,740][753,199]
￼ |  | click=false | en=true | [95,740][753,263]
No |  | click=false | en=true | [116,740][170,260]
7,856.00 | 7856 rupees | click=false | en=true | [784,740][994,236]
 | RCPT-0697, ￼, No, 1 rupees | click=true | en=true | [45,740][1035,484]
RCPT-0697 |  | click=false | en=true | [95,740][857,388]
￼ |  | click=false | en=true | [95,740][857,452]
No |  | click=false | en=true | [116,740][170,449]
1.00 | 1 rupees | click=false | en=true | [888,740][994,425]
 | RCPT-0696, ￼, No, 9182 rupees | click=true | en=true | [45,740][1035,673]
RCPT-0696 |  | click=false | en=true | [95,740][753,577]
￼ |  | click=false | en=true | [95,740][753,641]
No |  | click=false | en=true | [116,740][170,638]
9,182.00 | 9182 rupees | click=false | en=true | [784,740][994,614]
 | RCPT-VAN-0001, ￼, No, 12569 rupees | click=true | en=true | [45,740][1035,862]
RCPT-VAN-0001 |  | click=false | en=true | [95,740][723,766]
￼ |  | click=false | en=true | [95,766][723,830]
No |  | click=false | en=true | [116,769][170,827]
12,569.00 | 12569 rupees | click=false | en=true | [754,740][994,803]
 | RCPT-0698, ￼, No, 98992 rupees 72 paise | click=true | en=true | [45,862][1035,1051]
RCPT-0698 |  | click=false | en=true | [95,897][723,955]
￼ |  | click=false | en=true | [95,955][723,1019]
No |  | click=false | en=true | [116,958][170,1016]
98,992.72 | 98992 rupees 72 paise | click=false | en=true | [754,923][994,992]
 | RCPT-0696, ￼, No, 6990 rupees | click=true | en=true | [45,1051][1035,1240]
RCPT-0696 |  | click=false | en=true | [95,1086][753,1144]
￼ |  | click=false | en=true | [95,1144][753,1208]
No |  | click=false | en=true | [116,1147][170,1205]
6,990.00 | 6990 rupees | click=false | en=true | [784,1112][994,1181]
 | RCPT-0689, ￼, Yes, 5281 rupees | click=true | en=true | [45,1240][1035,1429]
RCPT-0689 |  | click=false | en=true | [95,1275][753,1333]
￼ |  | click=false | en=true | [95,1333][753,1397]
Yes |  | click=false | en=true | [116,1336][185,1394]
5,281.00 | 5281 rupees | click=false | en=true | [784,1301][994,1370]
 | RCPT-0688, ￼, No, 4914 rupees | click=true | en=true | [45,1429][1035,1618]
RCPT-0688 |  | click=false | en=true | [95,1464][753,1522]
￼ |  | click=false | en=true | [95,1522][753,1586]
No |  | click=false | en=true | [116,1525][170,1583]
4,914.00 | 4914 rupees | click=false | en=true | [784,1490][994,1559]
 | RCPT-0687, ￼, No, 4443 rupees | click=true | en=true | [45,1618][1035,1807]
RCPT-0687 |  | click=false | en=true | [95,1653][753,1711]
￼ |  | click=false | en=true | [95,1711][753,1775]
No |  | click=false | en=true | [116,1714][170,1772]
4,443.00 | 4443 rupees | click=false | en=true | [784,1679][994,1748]
 | RCPT-CHQ-0001, ￼, No, 29952 rupees | click=true | en=true | [45,1807][1035,1862]
RCPT-CHQ-0001 |  | click=false | en=true | [95,1842][723,1862]
￼ |  | click=false | en=true | [95,1900][723,1862]
No |  | click=false | en=true | [116,1903][170,1862]
29,952.00 | 29952 rupees | click=false | en=true | [754,1868][994,1862]
 | RCPT-9004, ￼, No, 582 rupees | click=true | en=true | [45,1996][1035,1862]
RCPT-9004 |  | click=false | en=true | [95,2031][796,1862]
￼ |  | click=false | en=true | [95,2089][796,1862]
No |  | click=false | en=true | [116,2092][170,1862]
582.00 | 582 rupees | click=false | en=true | [827,2057][994,1862]
 | RCPT-0681, ￼, No, 31416 rupees | click=true | en=true | [45,2185][1035,1862]
RCPT-0681 |  | click=false | en=true | [95,2220][723,1862]
￼ |  | click=false | en=true | [95,2278][723,1862]
No |  | click=false | en=true | [116,2281][170,1862]
31,416.00 | 31416 rupees | click=false | en=true | [754,2246][994,1862]
 | RCPT-0678, ￼, No, 1359 rupees | click=true | en=true | [45,2374][1035,1862]
1 receipts · ₹5,281.00 |  | click=false | en=true | [42,1895][1038,1953]
 | Bank this batch | click=true | en=true | [42,1974][1038,2139]
Bank this batch |  | click=false | en=true | [394,2027][686,2085]
 | Today | click=true | en=true | [0,2172][360,2337]
Today |  | click=false | en=true | [130,2230][230,2278]
 | Orders | click=true | en=true | [360,2172][720,2337]
Orders |  | click=false | en=true | [484,2230][596,2278]
 | Billing | click=true | en=true | [720,2172][1080,2337]
Billing |  | click=false | en=true | [848,2230][951,2278]
