 | Tarsun Enterprise logo | click=false | en=true | [42,198][126,282]
Tarsun Enterprise |  | click=false | en=true | [147,181][556,250]
accountant |  | click=false | en=true | [147,250][556,298]
 | More | click=true | en=true | [873,157][1038,322]
⋯ |  | click=false | en=true | [873,205][1038,274]
Updated 2 min ago |  | click=false | en=true | [126,357][438,405]
Day-end |  | click=false | en=true | [42,449][1038,518]
 | Receipts | click=true | en=true | [42,540][374,706]
Receipts |  | click=false | en=true | [125,589][290,647]
 | Day-end | click=true | en=true | [374,540][706,706]
Day-end |  | click=false | en=true | [462,589][618,647]
 | Claims | click=true | en=true | [706,540][1038,706]
Claims |  | click=false | en=true | [807,589][937,647]
 | RCPT-0701, ￼, No, 2843 rupees | click=true | en=true | [45,740][1035,164]
RCPT-0701 |  | click=false | en=true | [95,740][753,68]
￼ |  | click=false | en=true | [95,740][753,132]
No |  | click=false | en=true | [116,740][170,129]
2,843.00 | 2843 rupees | click=false | en=true | [784,740][994,105]
 | RCPT-0698, ￼, No, 7856 rupees | click=true | en=true | [45,740][1035,353]
RCPT-0698 |  | click=false | en=true | [95,740][753,257]
￼ |  | click=false | en=true | [95,740][753,321]
No |  | click=false | en=true | [116,740][170,318]
7,856.00 | 7856 rupees | click=false | en=true | [784,740][994,294]
 | RCPT-0697, ￼, No, 1 rupees | click=true | en=true | [45,740][1035,542]
RCPT-0697 |  | click=false | en=true | [95,740][857,446]
￼ |  | click=false | en=true | [95,740][857,510]
No |  | click=false | en=true | [116,740][170,507]
1.00 | 1 rupees | click=false | en=true | [888,740][994,483]
 | RCPT-0696, ￼, No, 9182 rupees | click=true | en=true | [45,740][1035,731]
RCPT-0696 |  | click=false | en=true | [95,740][753,635]
￼ |  | click=false | en=true | [95,740][753,699]
No |  | click=false | en=true | [116,740][170,696]
9,182.00 | 9182 rupees | click=false | en=true | [784,740][994,672]
 | RCPT-VAN-0001, ￼, No, 12569 rupees | click=true | en=true | [45,740][1035,920]
RCPT-VAN-0001 |  | click=false | en=true | [95,766][723,824]
￼ |  | click=false | en=true | [95,824][723,888]
No |  | click=false | en=true | [116,827][170,885]
12,569.00 | 12569 rupees | click=false | en=true | [754,792][994,861]
 | RCPT-0698, ￼, No, 98992 rupees 72 paise | click=true | en=true | [45,920][1035,1109]
RCPT-0698 |  | click=false | en=true | [95,955][723,1013]
￼ |  | click=false | en=true | [95,1013][723,1077]
No |  | click=false | en=true | [116,1016][170,1074]
98,992.72 | 98992 rupees 72 paise | click=false | en=true | [754,981][994,1050]
 | RCPT-0696, ￼, No, 6990 rupees | click=true | en=true | [45,1109][1035,1298]
RCPT-0696 |  | click=false | en=true | [95,1144][753,1202]
￼ |  | click=false | en=true | [95,1202][753,1266]
No |  | click=false | en=true | [116,1205][170,1263]
6,990.00 | 6990 rupees | click=false | en=true | [784,1170][994,1239]
 | RCPT-0689, ￼, No, 5281 rupees | click=true | en=true | [45,1298][1035,1487]
RCPT-0689 |  | click=false | en=true | [95,1333][753,1391]
￼ |  | click=false | en=true | [95,1391][753,1455]
No |  | click=false | en=true | [116,1394][170,1452]
5,281.00 | 5281 rupees | click=false | en=true | [784,1359][994,1428]
 | RCPT-0688, ￼, No, 4914 rupees | click=true | en=true | [45,1487][1035,1676]
RCPT-0688 |  | click=false | en=true | [95,1522][753,1580]
￼ |  | click=false | en=true | [95,1580][753,1644]
No |  | click=false | en=true | [116,1583][170,1641]
4,914.00 | 4914 rupees | click=false | en=true | [784,1548][994,1617]
 | RCPT-0687, ￼, No, 4443 rupees | click=true | en=true | [45,1676][1035,1865]
RCPT-0687 |  | click=false | en=true | [95,1711][753,1769]
￼ |  | click=false | en=true | [95,1769][753,1833]
No |  | click=false | en=true | [116,1772][170,1830]
4,443.00 | 4443 rupees | click=false | en=true | [784,1737][994,1806]
 | RCPT-CHQ-0001, ￼, No, 29952 rupees | click=true | en=true | [45,1865][1035,2054]
RCPT-CHQ-0001 |  | click=false | en=true | [95,1900][723,1958]
￼ |  | click=false | en=true | [95,1958][723,2022]
No |  | click=false | en=true | [116,1961][170,2019]
29,952.00 | 29952 rupees | click=false | en=true | [754,1926][994,1995]
 | RCPT-9004, ￼, No, 582 rupees | click=true | en=true | [45,2054][1035,2171]
RCPT-9004 |  | click=false | en=true | [95,2089][796,2147]
￼ |  | click=false | en=true | [95,2147][796,2171]
No |  | click=false | en=true | [116,2150][170,2171]
582.00 | 582 rupees | click=false | en=true | [827,2115][994,2171]
 | RCPT-0681, ￼, No, 31416 rupees | click=true | en=true | [45,2243][1035,2171]
RCPT-0681 |  | click=false | en=true | [95,2278][723,2171]
￼ |  | click=false | en=true | [95,2336][723,2171]
No |  | click=false | en=true | [116,2339][170,2171]
31,416.00 | 31416 rupees | click=false | en=true | [754,2304][994,2171]
 | Today | click=true | en=true | [0,2172][360,2337]
Today |  | click=false | en=true | [130,2230][230,2278]
 | Orders | click=true | en=true | [360,2172][720,2337]
Orders |  | click=false | en=true | [484,2230][596,2278]
 | Billing | click=true | en=true | [720,2172][1080,2337]
Billing |  | click=false | en=true | [848,2230][951,2278]
