 | Receipt RCPT-0689 | click=true | en=true | [0,336][1080,2400]
Receipt RCPT-0689 |  | click=false | en=true | [42,420][495,489]
Shop |  | click=false | en=true | [42,521][1038,569]
Deshmukh Kirana |  | click=false | en=true | [42,579][1038,637]
Mode |  | click=false | en=true | [42,680][1038,728]
Cash |  | click=false | en=true | [42,738][1038,796]
Amount ₹ |  | click=false | en=true | [42,838][1038,886]
₹5,281.00 | 5281 rupees | click=false | en=true | [42,896][1038,965]
On account ₹ |  | click=false | en=true | [42,1008][1038,1056]
₹0.00 | 0 rupees | click=false | en=true | [42,1066][1038,1135]
State |  | click=false | en=true | [42,1177][1038,1225]
Collected |  | click=false | en=true | [63,1238][241,1296]
Put against |  | click=false | en=true | [42,1362][305,1431]
 | 389ced71-4fc2-7c53-be9b-705a962b0c6f, 5281 rupees | click=true | en=false | [42,1485][1038,1674]
389ced71-4fc2-7c53-be9b-705a962b0c6f |  | click=false | en=true | [92,1523][729,1639]
₹5,281.00 | 5281 rupees | click=false | en=true | [759,1546][996,1615]
 | Print the receipt | click=true | en=true | [42,1715][1038,1880]
Print the receipt |  | click=false | en=true | [388,1768][691,1826]
 | Bank it | click=true | en=true | [42,1922][1038,2088]
Bank it |  | click=false | en=true | [474,1975][605,2033]
 | Mark bounced | click=true | en=false | [42,2130][1038,2109]
Mark bounced |  | click=false | en=true | [405,2183][675,2109]
Only a cheque in hand or banked can bounce |  | click=false | en=true | [42,2305][1038,2109]
 | Reverse the receipt | click=true | en=true | [42,2396][1038,2109]
 | Close | click=true | en=true | [42,2151][1038,2317]
Close |  | click=false | en=true | [486,2204][593,2262]
