 | Tarsun Enterprise logo | click=false | en=true | [42,198][126,282]
Tarsun Enterprise |  | click=false | en=true | [147,181][556,250]
accountant |  | click=false | en=true | [147,250][556,298]
 | More | click=true | en=true | [873,157][1038,322]
⋯ |  | click=false | en=true | [873,205][1038,274]
Updated 4 min ago |  | click=false | en=true | [126,357][438,405]
Receipts |  | click=false | en=true | [42,449][1038,518]
 | Receipts | click=true | en=true | [42,540][374,706]
Receipts |  | click=false | en=true | [125,589][290,647]
 | Day-end | click=true | en=true | [374,540][706,706]
Day-end |  | click=false | en=true | [462,589][618,647]
 | Claims | click=true | en=true | [706,540][1038,706]
Claims |  | click=false | en=true | [807,589][937,647]
 | 7 days | click=true | en=true | [47,734][260,899]
7 days |  | click=false | en=true | [91,787][214,845]
 | 30 days | click=true | en=true | [265,734][501,899]
30 days |  | click=false | en=true | [309,787][456,845]
 | 90 days | click=true | en=true | [506,734][743,899]
90 days |  | click=false | en=true | [550,787][697,845]
 | Export CSV | click=true | en=true | [42,926][345,1092]
Export CSV |  | click=false | en=true | [86,979][300,1037]
 | Record a payment | click=true | en=true | [42,1112][1038,1277]
Record a payment |  | click=false | en=true | [369,1165][710,1223]
 | RCPT-0567, ￼, Collected, 19642 rupees | click=true | en=true | [45,1310][1035,174]
RCPT-0567 |  | click=false | en=true | [95,1310][723,78]
￼ |  | click=false | en=true | [95,1310][723,142]
Collected |  | click=false | en=true | [116,1310][294,139]
19,642.00 | 19642 rupees | click=false | en=true | [754,1310][994,115]
 | RCPT-0566, ￼, Collected, 11504 rupees | click=true | en=true | [45,1310][1035,363]
RCPT-0566 |  | click=false | en=true | [95,1310][723,267]
￼ |  | click=false | en=true | [95,1310][723,331]
Collected |  | click=false | en=true | [116,1310][294,328]
11,504.00 | 11504 rupees | click=false | en=true | [754,1310][994,304]
 | RCPT-0565, ￼, Collected, 19513 rupees | click=true | en=true | [45,1310][1035,552]
RCPT-0565 |  | click=false | en=true | [95,1310][723,456]
￼ |  | click=false | en=true | [95,1310][723,520]
Collected |  | click=false | en=true | [116,1310][294,517]
19,513.00 | 19513 rupees | click=false | en=true | [754,1310][994,493]
 | RCPT-0564, ￼, Collected, 10187 rupees | click=true | en=true | [45,1310][1035,741]
RCPT-0564 |  | click=false | en=true | [95,1310][723,645]
￼ |  | click=false | en=true | [95,1310][723,709]
Collected |  | click=false | en=true | [116,1310][294,706]
10,187.00 | 10187 rupees | click=false | en=true | [754,1310][994,682]
 | RCPT-0563, ￼, Collected, 27888 rupees | click=true | en=true | [45,1310][1035,930]
RCPT-0563 |  | click=false | en=true | [95,1310][723,834]
￼ |  | click=false | en=true | [95,1310][723,898]
Collected |  | click=false | en=true | [116,1310][294,895]
27,888.00 | 27888 rupees | click=false | en=true | [754,1310][994,871]
 | RCPT-0562, ￼, Collected, 5796 rupees | click=true | en=true | [45,1310][1035,1119]
RCPT-0562 |  | click=false | en=true | [95,1310][753,1023]
￼ |  | click=false | en=true | [95,1310][753,1087]
Collected |  | click=false | en=true | [116,1310][294,1084]
5,796.00 | 5796 rupees | click=false | en=true | [784,1310][994,1060]
 | RCPT-CHQ-0004, ￼, Banked, 28398 rupees | click=true | en=true | [45,1310][1035,1308]
RCPT-CHQ-0004 |  | click=false | en=true | [95,1310][723,1212]
￼ |  | click=false | en=true | [95,1310][723,1276]
Banked |  | click=false | en=true | [116,1310][257,1273]
28,398.00 | 28398 rupees | click=false | en=true | [754,1310][994,1249]
 | RCPT-0561, ￼, Collected, 23863 rupees | click=true | en=true | [45,1310][1035,1497]
RCPT-0561 |  | click=false | en=true | [95,1343][723,1401]
￼ |  | click=false | en=true | [95,1401][723,1465]
Collected |  | click=false | en=true | [116,1404][294,1462]
23,863.00 | 23863 rupees | click=false | en=true | [754,1369][994,1438]
 | RCPT-0560, ￼, Collected, 4462 rupees | click=true | en=true | [45,1497][1035,1686]
RCPT-0560 |  | click=false | en=true | [95,1532][753,1590]
￼ |  | click=false | en=true | [95,1590][753,1654]
Collected |  | click=false | en=true | [116,1593][294,1651]
4,462.00 | 4462 rupees | click=false | en=true | [784,1558][994,1627]
 | RCPT-0559, ￼, Collected, 10137 rupees | click=true | en=true | [45,1686][1035,1875]
RCPT-0559 |  | click=false | en=true | [95,1721][723,1779]
￼ |  | click=false | en=true | [95,1779][723,1843]
Collected |  | click=false | en=true | [116,1782][294,1840]
10,137.00 | 10137 rupees | click=false | en=true | [754,1747][994,1816]
 | RCPT-OA-0006, ￼, Collected, 4100 rupees | click=true | en=true | [45,1875][1035,2064]
RCPT-OA-0006 |  | click=false | en=true | [95,1910][753,1968]
￼ |  | click=false | en=true | [95,1968][753,2032]
Collected |  | click=false | en=true | [116,1971][294,2029]
4,100.00 | 4100 rupees | click=false | en=true | [784,1936][994,2005]
 | RCPT-0558, ￼, Collected, 52538 rupees 78 paise | click=true | en=true | [45,2064][1035,2171]
RCPT-0558 |  | click=false | en=true | [95,2099][723,2157]
￼ |  | click=false | en=true | [95,2157][723,2171]
Collected |  | click=false | en=true | [116,2160][294,2171]
52,538.78 | 52538 rupees 78 paise | click=false | en=true | [754,2125][994,2171]
 | RCPT-0557, ￼, Collected, 10229 rupees | click=true | en=true | [45,2253][1035,2171]
RCPT-0557 |  | click=false | en=true | [95,2288][723,2171]
￼ |  | click=false | en=true | [95,2346][723,2171]
Collected |  | click=false | en=true | [116,2349][294,2171]
10,229.00 | 10229 rupees | click=false | en=true | [754,2314][994,2171]
 | Today | click=true | en=true | [0,2172][360,2337]
Today |  | click=false | en=true | [130,2230][230,2278]
 | Orders | click=true | en=true | [360,2172][720,2337]
Orders |  | click=false | en=true | [484,2230][596,2278]
 | Billing | click=true | en=true | [720,2172][1080,2337]
Billing |  | click=false | en=true | [848,2230][951,2278]
