 | Tarsun Enterprise logo | click=false | en=true | [42,198][126,282]
Tarsun Enterprise |  | click=false | en=true | [147,181][556,250]
accountant |  | click=false | en=true | [147,250][556,298]
 | More | click=true | en=true | [873,157][1038,322]
⋯ |  | click=false | en=true | [873,205][1038,274]
Updated 4 min ago |  | click=false | en=true | [126,357][438,405]
Receipts |  | click=false | en=true | [42,449][1038,518]
 | Receipts | click=true | en=true | [42,540][374,706]
Receipts |  | click=false | en=true | [125,589][290,647]
 | Day-end | click=true | en=true | [374,540][706,706]
Day-end |  | click=false | en=true | [462,589][618,647]
 | Claims | click=true | en=true | [706,540][1038,706]
Claims |  | click=false | en=true | [807,589][937,647]
 | 7 days | click=true | en=true | [47,734][260,899]
7 days |  | click=false | en=true | [91,787][214,845]
 | 30 days | click=true | en=true | [265,734][501,899]
30 days |  | click=false | en=true | [309,787][456,845]
 | 90 days | click=true | en=true | [506,734][743,899]
90 days |  | click=false | en=true | [550,787][697,845]
 | Export CSV | click=true | en=true | [42,926][345,1092]
Export CSV |  | click=false | en=true | [86,979][300,1037]
 | Record a payment | click=true | en=true | [42,1112][1038,1277]
Record a payment |  | click=false | en=true | [369,1165][710,1223]
 | RCPT-0686, ￼, Collected, 45511 rupees | click=true | en=true | [45,1310][1035,156]
RCPT-0686 |  | click=false | en=true | [95,1310][723,60]
￼ |  | click=false | en=true | [95,1310][723,124]
Collected |  | click=false | en=true | [116,1310][294,121]
45,511.00 | 45511 rupees | click=false | en=true | [754,1310][994,97]
 | RCPT-0685, ￼, Collected, 16010 rupees | click=true | en=true | [45,1310][1035,345]
RCPT-0685 |  | click=false | en=true | [95,1310][723,249]
￼ |  | click=false | en=true | [95,1310][723,313]
Collected |  | click=false | en=true | [116,1310][294,310]
16,010.00 | 16010 rupees | click=false | en=true | [754,1310][994,286]
 | RCPT-0684, ￼, Collected, 72158 rupees 77 paise | click=true | en=true | [45,1310][1035,534]
RCPT-0684 |  | click=false | en=true | [95,1310][723,438]
￼ |  | click=false | en=true | [95,1310][723,502]
Collected |  | click=false | en=true | [116,1310][294,499]
72,158.77 | 72158 rupees 77 paise | click=false | en=true | [754,1310][994,475]
 | RCPT-0683, ￼, Collected, 12686 rupees | click=true | en=true | [45,1310][1035,723]
RCPT-0683 |  | click=false | en=true | [95,1310][723,627]
￼ |  | click=false | en=true | [95,1310][723,691]
Collected |  | click=false | en=true | [116,1310][294,688]
12,686.00 | 12686 rupees | click=false | en=true | [754,1310][994,664]
 | RCPT-CHQ-0001, ￼, Collected, 29952 rupees | click=true | en=true | [45,1310][1035,912]
RCPT-CHQ-0001 |  | click=false | en=true | [95,1310][723,816]
￼ |  | click=false | en=true | [95,1310][723,880]
Collected |  | click=false | en=true | [116,1310][294,877]
29,952.00 | 29952 rupees | click=false | en=true | [754,1310][994,853]
 | RCPT-0682, ￼, Collected, 4425 rupees | click=true | en=true | [45,1310][1035,1101]
RCPT-0682 |  | click=false | en=true | [95,1310][753,1005]
￼ |  | click=false | en=true | [95,1310][753,1069]
Collected |  | click=false | en=true | [116,1310][294,1066]
4,425.00 | 4425 rupees | click=false | en=true | [784,1310][994,1042]
 | RCPT-9004, ￼, Collected, 582 rupees | click=true | en=true | [45,1310][1035,1290]
RCPT-9004 |  | click=false | en=true | [95,1310][796,1194]
￼ |  | click=false | en=true | [95,1310][796,1258]
Collected |  | click=false | en=true | [116,1310][294,1255]
582.00 | 582 rupees | click=false | en=true | [827,1310][994,1231]
 | RCPT-0681, ￼, Collected, 31416 rupees | click=true | en=true | [45,1310][1035,1479]
RCPT-0681 |  | click=false | en=true | [95,1325][723,1383]
￼ |  | click=false | en=true | [95,1383][723,1447]
Collected |  | click=false | en=true | [116,1386][294,1444]
31,416.00 | 31416 rupees | click=false | en=true | [754,1351][994,1420]
 | RCPT-0680, ￼, Banked, 19213 rupees | click=true | en=true | [45,1479][1035,1668]
RCPT-0680 |  | click=false | en=true | [95,1514][723,1572]
￼ |  | click=false | en=true | [95,1572][723,1636]
Banked |  | click=false | en=true | [116,1575][257,1633]
19,213.00 | 19213 rupees | click=false | en=true | [754,1540][994,1609]
 | RCPT-0679, ￼, Collected, 1490 rupees | click=true | en=true | [45,1668][1035,1857]
RCPT-0679 |  | click=false | en=true | [95,1703][753,1761]
￼ |  | click=false | en=true | [95,1761][753,1825]
Collected |  | click=false | en=true | [116,1764][294,1822]
1,490.00 | 1490 rupees | click=false | en=true | [784,1729][994,1798]
 | RCPT-0678, ￼, Collected, 1359 rupees | click=true | en=true | [45,1857][1035,2046]
RCPT-0678 |  | click=false | en=true | [95,1892][753,1950]
￼ |  | click=false | en=true | [95,1950][753,2014]
Collected |  | click=false | en=true | [116,1953][294,2011]
1,359.00 | 1359 rupees | click=false | en=true | [784,1918][994,1987]
 | RCPT-0677, ￼, Collected, 5833 rupees | click=true | en=true | [45,2046][1035,2171]
RCPT-0677 |  | click=false | en=true | [95,2081][753,2139]
￼ |  | click=false | en=true | [95,2139][753,2171]
Collected |  | click=false | en=true | [116,2142][294,2171]
5,833.00 | 5833 rupees | click=false | en=true | [784,2107][994,2171]
 | RCPT-CHQ-0005-R, ￼, Cancelled, -28250 rupees | click=true | en=true | [45,2235][1035,2171]
RCPT-CHQ-0005-R |  | click=false | en=true | [95,2270][704,2171]
￼ |  | click=false | en=true | [95,2328][704,2171]
Cancelled |  | click=false | en=true | [116,2331][303,2171]
-28,250.00 | -28250 rupees | click=false | en=true | [735,2296][994,2171]
 | Today | click=true | en=true | [0,2172][360,2337]
Today |  | click=false | en=true | [130,2230][230,2278]
 | Orders | click=true | en=true | [360,2172][720,2337]
Orders |  | click=false | en=true | [484,2230][596,2278]
 | Billing | click=true | en=true | [720,2172][1080,2337]
Billing |  | click=false | en=true | [848,2230][951,2278]
