 | Tarsun Enterprise logo | click=false | en=true | [42,198][126,282]
Tarsun Enterprise |  | click=false | en=true | [147,181][556,250]
accountant |  | click=false | en=true | [147,250][556,298]
 | More | click=true | en=true | [873,157][1038,322]
⋯ |  | click=false | en=true | [873,205][1038,274]
Updated just now |  | click=false | en=true | [126,357][414,405]
Today |  | click=false | en=true | [42,449][1038,518]
 | Open the queue | click=true | en=true | [42,540][1038,706]
Open the queue |  | click=false | en=true | [392,593][688,651]
INVOICED TODAY |  | click=false | en=true | [73,813][508,861]
₹18,205.00 | 18205 rupees | click=false | en=true | [74,862][342,931]
COLLECTED TODAY |  | click=false | en=true | [574,813][1007,861]
₹11,609.00 | 11609 rupees | click=false | en=true | [574,862][842,931]
3 trips active |  | click=false | en=true | [574,930][1007,999]
MONEY OWED |  | click=false | en=true | [73,1065][508,1113]
₹44,12,423.00 | 4412423 rupees | click=false | en=true | [74,1113][415,1182]
₹26,80,022.00 overdue |  | click=false | en=true | [73,1182][508,1320]
ORDERS TO CONFIRM |  | click=false | en=true | [574,1065][1007,1113]
3 |  | click=false | en=true | [574,1113][605,1182]
18 bills to issue |  | click=false | en=true | [574,1182][1007,1251]
as of 13 Sep, 5:45 am |  | click=false | en=true | [42,1374][1038,1422]
What is waiting |  | click=false | en=true | [42,1507][395,1576]
 | Orders to confirm, 3 rows, 40221 rupees, 3 | click=true | en=true | [42,1630][1038,1848]
Orders to confirm |  | click=false | en=true | [92,1688][698,1746]
₹40,221.00 | 40221 rupees | click=false | en=true | [728,1664][996,1733]
3 rows |  | click=false | en=true | [92,1746][698,1794]
3 |  | click=false | en=true | [749,1746][780,1815]
 | Bills to issue, 18 rows, 166838 rupees, 18 | click=true | en=true | [42,1870][1038,2089]
Bills to issue |  | click=false | en=true | [92,1928][656,1986]
₹1,66,838.00 | 166838 rupees | click=false | en=true | [686,1904][996,1973]
18 rows |  | click=false | en=true | [92,1986][656,2034]
18 |  | click=false | en=true | [707,1986][768,2055]
 | Goods to receive, 0 rows, 0 | click=true | en=true | [42,2109][1038,2171]
Goods to receive |  | click=false | en=true | [92,2152][893,2171]
0 rows |  | click=false | en=true | [92,2210][893,2171]
0 |  | click=false | en=true | [944,2170][975,2171]
 | Bills to review, 7 rows, 7 | click=true | en=true | [42,2319][1038,2171]
Bills to review |  | click=false | en=true | [92,2362][893,2171]
7 |  | click=false | en=true | [944,2380][975,2171]
 | Today | click=true | en=true | [0,2172][360,2337]
Today |  | click=false | en=true | [130,2230][230,2278]
 | Orders | click=true | en=true | [360,2172][720,2337]
Orders |  | click=false | en=true | [484,2230][596,2278]
 | Billing | click=true | en=true | [720,2172][1080,2337]
Billing |  | click=false | en=true | [848,2230][951,2278]
