 | Tarsun Enterprise logo | click=false | en=true | [42,198][126,282]
Tarsun Enterprise |  | click=false | en=true | [147,181][556,250]
manager |  | click=false | en=true | [147,250][556,298]
 | More | click=true | en=true | [873,157][1038,322]
⋯ |  | click=false | en=true | [873,205][1038,274]
Updated 1 min ago |  | click=false | en=true | [126,357][438,405]
Pick &amp; pack |  | click=false | en=true | [42,449][1038,518]
 | Waves | click=true | en=true | [42,540][374,706]
Waves |  | click=false | en=true | [146,589][270,647]
 | Pick &amp; pack | click=true | en=true | [374,540][706,706]
Pick &amp; pack |  | click=false | en=true | [429,589][650,647]
 | Load-out | click=true | en=true | [706,540][1038,706]
Load-out |  | click=false | en=true | [787,589][957,647]
 | Picking sheet | click=true | en=true | [47,734][392,899]
Picking sheet |  | click=false | en=true | [91,787][346,845]
 | Pack and bill | click=true | en=true | [397,734][727,899]
Pack and bill |  | click=false | en=true | [441,787][682,845]
Picking sheet |  | click=false | en=true | [42,1000][356,1069]
 | PICK-0090, Godown · 13 Sep, Being picked | click=true | en=true | [42,1123][1038,1312]
PICK-0090 |  | click=false | en=true | [92,1166][681,1224]
Godown · 13 Sep |  | click=false | en=true | [92,1224][681,1272]
Being picked |  | click=false | en=true | [732,1189][975,1247]
 | PICK-0080, Godown · 13 Sep, Being picked | click=true | en=true | [42,1333][1038,1522]
PICK-0080 |  | click=false | en=true | [92,1376][681,1434]
Godown · 13 Sep |  | click=false | en=true | [92,1434][681,1482]
Being picked |  | click=false | en=true | [732,1399][975,1457]
 | PICK-0078, Godown · 12 Sep, Being picked | click=true | en=true | [42,1543][1038,1732]
PICK-0078 |  | click=false | en=true | [92,1586][681,1644]
Godown · 12 Sep |  | click=false | en=true | [92,1644][681,1692]
Being picked |  | click=false | en=true | [732,1609][975,1667]
 | Today | click=true | en=true | [0,2172][270,2337]
Today |  | click=false | en=true | [85,2230][185,2278]
 | Orders | click=true | en=true | [270,2172][540,2337]
Orders |  | click=false | en=true | [349,2230][461,2278]
 | Fulfilment | click=true | en=true | [540,2172][810,2337]
Fulfilment |  | click=false | en=true | [592,2230][758,2278]
 | Billing | click=true | en=true | [810,2172][1080,2337]
Billing |  | click=false | en=true | [893,2230][996,2278]
