 | Tarsun Enterprise logo | click=false | en=true | [42,198][126,282]
Tarsun Enterprise |  | click=false | en=true | [147,181][556,250]
manager |  | click=false | en=true | [147,250][556,298]
 | More | click=true | en=true | [873,157][1038,322]
⋯ |  | click=false | en=true | [873,205][1038,274]
Updated 1 min ago |  | click=false | en=true | [126,357][438,405]
Pick &amp; pack |  | click=false | en=true | [42,449][1038,518]
 | Waves | click=true | en=true | [42,540][374,706]
Waves |  | click=false | en=true | [146,589][270,647]
 | Pick &amp; pack | click=true | en=true | [374,540][706,706]
Pick &amp; pack |  | click=false | en=true | [429,589][650,647]
 | Load-out | click=true | en=true | [706,540][1038,706]
Load-out |  | click=false | en=true | [787,589][957,647]
 | Picking sheet | click=true | en=true | [47,734][392,899]
Picking sheet |  | click=false | en=true | [91,787][346,845]
 | Pack and bill | click=true | en=true | [397,734][727,899]
Pack and bill |  | click=false | en=true | [441,787][682,845]
Picking sheet |  | click=false | en=true | [42,937][356,623]
 | PICK-0090, Godown · 13 Sep, Being picked | click=true | en=true | [42,937][1038,866]
PICK-0090 |  | click=false | en=true | [92,937][681,778]
Godown · 13 Sep |  | click=false | en=true | [92,937][681,826]
Being picked |  | click=false | en=true | [732,937][975,801]
 | PICK-0080, Godown · 13 Sep, Being picked | click=true | en=true | [42,937][1038,1076]
PICK-0080 |  | click=false | en=true | [92,937][681,988]
Godown · 13 Sep |  | click=false | en=true | [92,988][681,1036]
Being picked |  | click=false | en=true | [732,953][975,1011]
 | PICK-0078, Godown · 12 Sep, Being picked | click=true | en=true | [42,1097][1038,1286]
PICK-0078 |  | click=false | en=true | [92,1140][681,1198]
Godown · 12 Sep |  | click=false | en=true | [92,1198][681,1246]
Being picked |  | click=false | en=true | [732,1163][975,1221]
PICK-0090 |  | click=false | en=true | [42,1370][293,1439]
0 / 24 pc |  | click=false | en=true | [42,1449][1038,1497]
Campa Cola 2 L |  | click=false | en=true | [42,1582][1038,1640]
Batch RCP20260731 · Asked 6 |  | click=false | en=true | [42,1661][1038,1709]
 | One case less | click=true | en=true | [42,1731][207,1896]
− |  | click=false | en=true | [109,1779][139,1848]
1 cs |  | click=false | en=true | [238,1779][427,1848]
 | One case more | click=true | en=true | [459,1731][625,1896]
+ |  | click=false | en=true | [527,1779][556,1848]
1 cs = 24 pc |  | click=false | en=true | [42,1906][1038,1941]
Campa Cola 2 L |  | click=false | en=true | [42,2081][1038,1941]
Batch B20260902 · Asked 18 |  | click=false | en=true | [42,2160][1038,1941]
 | One case less | click=true | en=false | [42,2230][207,1941]
− |  | click=false | en=true | [109,2278][139,1941]
0 cs |  | click=false | en=true | [238,2278][427,1941]
 | One case more | click=true | en=true | [459,2230][625,1941]
+ |  | click=false | en=true | [527,2278][556,1941]
 | Record what was picked | click=true | en=true | [42,1974][1038,2139]
Record what was picked |  | click=false | en=true | [312,2027][768,2085]
 | Today | click=true | en=true | [0,2172][270,2337]
Today |  | click=false | en=true | [85,2230][185,2278]
 | Orders | click=true | en=true | [270,2172][540,2337]
Orders |  | click=false | en=true | [349,2230][461,2278]
 | Fulfilment | click=true | en=true | [540,2172][810,2337]
Fulfilment |  | click=false | en=true | [592,2230][758,2278]
 | Billing | click=true | en=true | [810,2172][1080,2337]
Billing |  | click=false | en=true | [893,2230][996,2278]
