 | Alan's Food Products — Bhiwandi · ALA/26-27/00491 | click=true | en=true | [0,336][1080,2400]
Alan's Food Products — Bhiwandi · ALA/26-27/00491 |  | click=false | en=true | [42,420][1037,558]
Supplier |  | click=false | en=true | [42,590][1038,638]
Alan's Food Products — Bhiwandi |  | click=false | en=true | [42,648][1038,706]
State |  | click=false | en=true | [42,749][1038,797]
Needs review |  | click=false | en=true | [63,810][317,868]
QR |  | click=false | en=true | [42,912][1038,960]
Absent |  | click=false | en=true | [42,970][1038,1028]
Pages |  | click=false | en=true | [42,1092][188,1161]
 | Pages 1 | click=false | en=true | [42,1215][1038,1793]
 | Pages 2 | click=false | en=true | [42,1824][1038,2110]
 | Close | click=true | en=true | [42,2151][1038,2316]
Close |  | click=false | en=true | [486,2204][593,2262]
