 | Alan's Food Products — Bhiwandi · ALA/26-27/00491 | click=true | en=true | [0,336][1080,2400]
Alan's Food Products — Bhiwandi · ALA/26-27/00491 |  | click=false | en=true | [42,420][1037,558]
What we think each line is |  | click=false | en=true | [42,590][640,107]
On the bill: MASTI OYE CLASSIC SALTED 30 G |  | click=false | en=true | [42,590][1038,250]
336 pc |  | click=false | en=true | [42,590][1038,319]
₹2,493.86 | 2493 rupees 86 paise | click=false | en=true | [42,590][1038,409]
Our item: Masti Oye Classic Salted 30 g |  | click=false | en=true | [42,590][1038,489]
Match 95% · Supplier alias |  | click=false | en=true | [42,590][1038,547]
On the bill: MASTI OYE TOMATO TWIST 30 G |  | click=false | en=true | [42,642][1038,700]
912 pc |  | click=false | en=true | [42,721][1038,769]
₹6,822.86 | 6822 rupees 86 paise | click=false | en=true | [42,790][1038,859]
Our item: Masti Oye Tomato Twist 30 g |  | click=false | en=true | [42,881][1038,939]
Match 94% · Supplier alias |  | click=false | en=true | [42,949][1038,997]
On the bill: MASTI OYE PERI PERI TWIST 30 G |  | click=false | en=true | [42,1092][1038,1150]
144 pc |  | click=false | en=true | [42,1171][1038,1219]
₹1,079.00 | 1079 rupees | click=false | en=true | [42,1240][1038,1309]
Our item: Masti Oye Peri Peri Twist 30 g |  | click=false | en=true | [42,1331][1038,1389]
Match 93% · Supplier alias |  | click=false | en=true | [42,1399][1038,1447]
 | Start reviewing | click=true | en=true | [42,1521][1038,1686]
Start reviewing |  | click=false | en=true | [398,1574][682,1632]
 | Match the items again | click=true | en=true | [42,1718][1038,1883]
Match the items again |  | click=false | en=true | [330,1771][750,1829]
 | Book it as a supplier bill | click=true | en=true | [42,1915][1038,2080]
Book it as a supplier bill |  | click=false | en=true | [315,1968][764,2026]
 | Reject the document | click=true | en=true | [42,2112][1038,2110]
Reject the document |  | click=false | en=true | [345,2165][735,2110]
 | Close | click=true | en=true | [42,2151][1038,2316]
Close |  | click=false | en=true | [486,2204][593,2262]
