 | Alan's Food Products — Bhiwandi · ALA/26-27/00491 | click=true | en=true | [0,336][1080,2400]
Alan's Food Products — Bhiwandi · ALA/26-27/00491 |  | click=false | en=true | [42,420][1037,558]
What we think each line is |  | click=false | en=true | [42,590][640,103]
On the bill: MASTI OYE CLASSIC SALTED 30 G |  | click=false | en=true | [42,590][1038,246]
336 pc |  | click=false | en=true | [42,590][1038,315]
₹2,493.86 | 2493 rupees 86 paise | click=false | en=true | [42,590][1038,405]
Our item: Masti Oye Classic Salted 30 g |  | click=false | en=true | [42,590][1038,485]
Match 95% · Supplier alias |  | click=false | en=true | [42,590][1038,543]
On the bill: MASTI OYE TOMATO TWIST 30 G |  | click=false | en=true | [42,638][1038,696]
912 pc |  | click=false | en=true | [42,717][1038,765]
₹6,822.86 | 6822 rupees 86 paise | click=false | en=true | [42,786][1038,855]
Our item: Masti Oye Tomato Twist 30 g |  | click=false | en=true | [42,877][1038,935]
Match 94% · Supplier alias |  | click=false | en=true | [42,945][1038,993]
On the bill: MASTI OYE PERI PERI TWIST 30 G |  | click=false | en=true | [42,1088][1038,1146]
144 pc |  | click=false | en=true | [42,1167][1038,1215]
₹1,079.00 | 1079 rupees | click=false | en=true | [42,1236][1038,1305]
Our item: Masti Oye Peri Peri Twist 30 g |  | click=false | en=true | [42,1327][1038,1385]
Match 93% · Supplier alias |  | click=false | en=true | [42,1395][1038,1443]
 | Start reviewing | click=true | en=true | [42,1517][1038,1682]
Start reviewing |  | click=false | en=true | [398,1570][682,1628]
 | Match the items again | click=true | en=true | [42,1714][1038,1879]
Match the items again |  | click=false | en=true | [330,1767][750,1825]
 | Book it as a supplier bill | click=true | en=true | [42,1911][1038,2076]
Book it as a supplier bill |  | click=false | en=true | [315,1964][764,2022]
 | Reject the document | click=true | en=true | [42,2108][1038,2110]
Reject the document |  | click=false | en=true | [345,2161][735,2110]
 | Close | click=true | en=true | [42,2151][1038,2316]
Close |  | click=false | en=true | [486,2204][593,2262]
