Application	[0,0 402x874]	Expo Go
Button	[317,70 69x69]	More
Image	[16,88 32x33]	Tarsun Enterprise logo
StaticText	[56,82 161x27]	Tarsun Enterprise
StaticText	[56,108 161x19]	salesperson
StaticText	[48,152 117x19]	Updated just now
StaticText	[16,187 370x27]	Shops
StaticText	[24,222 94x27]	Shops: 30
Other	[16,277 124x70]	Shops
Other	[139,277 124x70]	Losing
Other	[262,277 125x70]	Catalog
SearchField	[17,364 368x68]	 = Search by name, code or phone
Button	[16,456 370x70]	Ambika Provision Store, R-0009 · Station Road · Station Road, Kalyan West, 23995 rupees, C
Button	[16,525 370x70]	Balaji Wholesale Stores, R-0010 · Station Road · Station Road, Kalyan West, 720804 rupees, A
Button	[16,594 370x70]	Bhosale Traders, R-0023 · Khadakpada · Khadakpada, Kalyan West, 74287 rupees, B
Button	[16,663 370x70]	Chavan Kirana Stores, R-0024 · Khadakpada · Khadakpada, Kalyan West, 21892 rupees, C
Button	[16,732 370x70]	Deshmukh Kirana, R-0017 · Kalyan West Market · Bazarpeth, Kalyan West, 24365 rupees, C
Other	[369,261 30x510]	Vertical scroll bar, 5 pages = 0%
Other	[0,737 402x31]	Horizontal scroll bar, 1 page = 0%
Other	[0,771 101x70]	Beat
Other	[100,771 101x70]	Orders
Other	[201,771 101x70]	Shops
Other	[301,771 101x70]	Me
Image	[344,706 26x27]	gearshape.fill
