Application	[0,0 402x874]	Expo Go
Button	[317,70 69x69]	More
StaticText	[56,82 231x27]	Sai Distributors, Dombivli
StaticText	[22,93 20x23]	SD
StaticText	[56,108 231x19]	delivery
StaticText	[48,152 117x19]	Updated just now
StaticText	[16,187 370x19]	TRIP-ACTIVE · 12 Sep 2026
StaticText	[16,205 370x27]	Today's trip
StaticText	[24,240 89x23]	On the road
StaticText	[137,240 172x27]	3 of 10 stops done
StaticText	[24,276 129x23]	MH-05-BQ-4471
Button	[17,279 368x80]	3. Nandivali Super Bazar, Shop 16, Nandivali, Dombivli East, Dombivli, 421201, 44645 rupees, Delivered
Button	[17,358 368x80]	4. Jain Kirana Mart, Shop 19, Nandivali, Dombivli East, Dombivli, 421201, 11546 rupees, At the shop
Button	[17,437 368x80]	5. Dombivli Fresh Mart, Shop 27, Kopar Road, Dombivli East, Dombivli, 421201, 32368 rupees, At the shop
Button	[17,516 368x80]	6. Sanjivani General Store, Shop 9, Nandivali, Dombivli East, Dombivli, 421201, 3794 rupees, At the shop
Button	[17,595 368x80]	7. Vaishnavi Provision, Shop 11, Tilak Nagar, Dombivli East, Dombivli, 421201, 4866 rupees, Not started
Other	[369,311 30x348]	Vertical scroll bar, 6 pages = 38%
Other	[0,625 402x31]	Horizontal scroll bar, 1 page = 0%
Button	[16,671 370x77]	Next stop
Button	[16,759 370x70]	Check in the vehicle
Image	[344,706 26x27]	gearshape.fill
