Application	[0,0 402x874]	Expo Go
Button	[310,70 76x76]	More
Image	[16,92 32x32]	Tarsun Enterprise logo
StaticText	[56,86 161x26]	Tarsun Enterprise
StaticText	[56,112 161x18]	warehouse
StaticText	[48,159 117x19]	Updated just now
StaticText	[16,194 370x19]	Tarsun Enterprise
StaticText	[16,212 370x27]	Pick
Button	[16,266 125x77]	✓ Every beat = 1
Button	[165,266 122x77]	Khadakpada
Button	[311,266 124x77]	Station Road
Other	[353,266 30x77]	Vertical scroll bar, 3 pages = 0%
StaticText	[16,374 166x27]	ORDERS WAITING
Button	[16,412 103x77]	Select all
Button	[151,412 74x77]	Clear
StaticText	[16,492 370x19]	0 selected · 0 pc
Button	[17,531 368x77]	Bhosale Traders, SO-0877 · Khadakpada · 750 pc, confirmed
Button	[17,607 368x77]	Shree Ganesh Kirana, SO-0873 · Station Road · 163 pc, confirmed
Button	[17,683 368x77]	Vitthal Traders, SO-9003 · Kalyan West Market · 2 pc, confirmed
Button	[17,759 368x77]	Nutan Kirana Stores, SO-0870 · Birla College Road · 158 pc, confirmed
Other	[369,250 30x514]	Vertical scroll bar, 6 pages = 0%
Other	[0,730 402x31]	Horizontal scroll bar, 1 page = 0%
Other	[0,764 101x77]	Inbound
Other	[100,764 101x77]	Pick
Other	[201,764 101x77]	Pack
Other	[301,764 101x77]	Load
Image	[344,706 26x27]	gearshape.fill
