Application	[0,0 402x874]	Expo Go
Button	[310,70 76x76]	More
StaticText	[56,86 231x26]	Sai Distributors, Dombivli
StaticText	[22,97 20x22]	SD
StaticText	[56,112 231x18]	warehouse
StaticText	[48,159 117x19]	Updated just now
StaticText	[16,194 370x19]	Sai Distributors, Dombivli
StaticText	[16,212 370x27]	Pick
Button	[16,266 125x77]	✓ Every beat = 1
Button	[165,266 115x77]	Kopar Road
Button	[304,266 105x77]	Ayre Road
Other	[353,266 30x77]	Vertical scroll bar, 2 pages = 0%
StaticText	[16,374 166x27]	ORDERS WAITING
Button	[16,412 103x77]	Select all
Button	[151,412 74x77]	Clear
StaticText	[16,492 370x19]	0 selected · 0 pc
Button	[17,531 368x77]	Thakurli Station Kirana, SO-0454 · Kopar Road · 243 pc, confirmed
Button	[17,607 368x77]	Rajhans General Store, SO-0453 · Ayre Road · 537 pc, confirmed
Button	[17,683 368x77]	Swami Samarth Stores, SO-9003 · Tilak Nagar · 2 pc, confirmed
Other	[369,250 30x514]	Vertical scroll bar, 6 pages = 0%
Other	[0,730 402x31]	Horizontal scroll bar, 1 page = 0%
Other	[0,764 101x77]	Inbound
Other	[100,764 101x77]	Pick
Other	[201,764 101x77]	Pack
Other	[301,764 101x77]	Load
Image	[344,706 26x27]	gearshape.fill
