$ tsx tools/smoke-endpoints.mts --base http://127.0.0.1:3100
smoke: 8 service(s), tenant 01a0baa2-26bc-75bc-aaac-acd319cf8525, database dos_test_b2_d175
       destructive procedures are skipped (pass --destructive to include them)

── auth-service ────────────────────────────────────────────────────────────────────────────────────────────
METHOD  PATH                                           STATUS MS     CLASS    MESSAGE
POST    /auth/login                                    200    41     OK       
POST    /auth/platform/login                           200    30     OK       
POST    /auth/refresh                                  200    6      OK       
POST    /auth/platform/refresh                         200    6      OK       
POST    /auth/switch-tenant                            200    6      OK       
GET     /auth/me                                       200    6      OK       
GET     /auth/sessions                                 200    4      OK       
GET     /health/ping                                   200    2      OK       
GET     /auth/platform/me                              403    2      EXPECTED this endpoint belongs to the Distribution OS console; sign in at POST /auth/plat
POST    /auth/platform/support-pass                    403    2      EXPECTED this endpoint belongs to the Distribution OS console; sign in at POST /auth/plat
POST    /auth/forgot-password                          200    6      OK       
POST    /auth/reset-password                           400    2      EXPECTED token is not a password reset token
GET     /.well-known/jwks.json                         200    2      OK       
POST    /auth/sessions/revoke                          -      0      SKIPPED  destructive, needs --destructive (matches /cancel|delete|revoke|writeOff|disable
POST    /auth/logout                                   200    4      OK       
POST    /auth/change-password                          -      0      SKIPPED  destructive, needs --destructive (would change the demo password every other too
   auth: 11 OK · 3 expected · 0 BROKEN · 2 skipped  (of 16)

── owner-service ───────────────────────────────────────────────────────────────────────────────────────────
METHOD  PATH                                           STATUS MS     CLASS    MESSAGE
POST    /delivery/vehicles                             200    22     OK       
POST    /docint/documents                              200    15     OK       
POST    /delivery/trips                                200    37     OK       
POST    /docint/documents/{id}/pages/upload-urls       200    7      OK       
POST    /delivery/trips/{id}/stops/reorder             200    15     OK       
POST    /docint/documents/{id}/pages                   200    10     OK       
POST    /delivery/trips/{id}/start-loading             200    14     OK       
POST    /docint/documents/{id}/qr                      200    10     OK       
POST    /delivery/trips/{id}/depart                    200    14     OK       
POST    /docint/documents/{id}/submit                  200    48     OK       
POST    /delivery/trips/{id}/stops                     200    20     OK       
POST    /delivery/stops/{id}/start                     -      0      SKIPPED  no open stop with a bill on the throwaway trip
POST    /delivery/stops/{id}/arrive                    -      0      SKIPPED  no open stop with a bill on the throwaway trip
POST    /delivery/deliveries                           -      0      SKIPPED  no planned bill on the throwaway trip (no packed bill was free to ride on it)
POST    /delivery/deliveries/{id}/pod                  200    19     OK       
POST    /delivery/collections                          200    59     OK       
POST    /docint/extractions/{id}/matches/reject        200    12     OK       
POST    /delivery/van-sales                            409    15     EXPECTED order f8918e3c-f4b0-7292-800b-8654add42a7a already exists
POST    /docint/extractions/{id}/matches/accept        200    19     OK       
POST    /delivery/expenses                             200    9      OK       
POST    /docint/extractions/{id}/matches/choose        200    17     OK       
POST    /gps/points                                    200    6      OK       
POST    /docint/extractions/{id}/rematch               200    11     OK       
POST    /delivery/stops/{id}/fail                      200    25     OK       
POST    /docint/documents/{id}/extract                 200    6      OK       
POST    /docint/documents/{id}/review                  200    48     OK       
POST    /docint/review-sessions/{id}/heartbeat         200    7      OK       
POST    /docint/review-sessions/{id}                   200    33     OK       
POST    /docint/review-sessions/{id}/submit            200    33     OK       
POST    /docint/review-sessions/{id}/release           409    6      EXPECTED review session 01a0d0c5-0df4-7f0a-8cec-69b5cba979b5 is submitted
POST    /delivery/trips/{id}/return                    200    35     OK       
POST    /docint/documents/{id}/approve                 200    18     OK       
GET     /delivery/trips/{id}/settlement                200    11     OK       
POST    /delivery/trips/{tripId}/settle                200    30     OK       
GET     /delivery/trips/{id}/trace                     200    9      OK       
GET     /delivery/trips/{id}                           200    16     OK       
GET     /delivery/trips/{id}/next-stop                 200    6      OK       
GET     /delivery/deliveries                           200    21     OK       
GET     /delivery/deliveries/{id}                      200    8      OK       
GET     /health/ping                                   200    3      OK       
GET     /tenancy/me                                    200    4      OK       
GET     /tenancy/staff                                 200    6      OK       
POST    /tenancy/staff                                 200    36     OK       
POST    /tenancy/staff/update                          200    13     OK       
POST    /tenancy/staff/set-password                    -      0      SKIPPED  destructive, needs --destructive (would change a demo user password)
POST    /tenancy/staff/set-status                      -      0      SKIPPED  destructive, needs --destructive (would disable a demo user)
GET     /tenancy/branding                              200    4      OK       
GET     /tenancy/settings                              200    3      OK       
POST    /tenancy/settings                              200    4      OK       
GET     /tenancy/numbering-series                      200    4      OK       
POST    /tenancy/numbering-series                      200    4      OK       
GET     /tenancy/feature-flags                         200    3      OK       
POST    /tenancy/feature-flags                         200    3      OK       
POST    /tenancy/tenant                                200    4      OK       
GET     /tenancy/audit                                 200    5      OK       
GET     /tenancy/support-grants                        200    6      OK       
POST    /tenancy/support-grants/{id}/approve           200    11     OK       
POST    /tenancy/support-grants/{id}/revoke            -      0      SKIPPED  destructive, needs --destructive (matches /cancel|delete|revoke|writeOff|disable
GET     /catalog/variants                              200    8      OK       
GET     /catalog/manufacturers                         200    4      OK       
POST    /catalog/proposals                             200    4      OK       
GET     /tenant-catalog/products                       200    11     OK       
POST    /tenant-catalog/products                       200    5      OK       
GET     /tenant-catalog/suppliers                      200    4      OK       
POST    /tenant-catalog/suppliers                      200    4      OK       
GET     /tenant-catalog/costs                          200    6      OK       
POST    /tenant-catalog/costs                          200    4      OK       
GET     /tenant-catalog/rep-authorisations             200    6      OK       
POST    /tenant-catalog/rep-authorisations             200    5      OK       
GET     /tenant-catalog/brands                         200    5      OK       
POST    /tenant-catalog/brands                         200    4      OK       
GET     /tenant-catalog/pack-configs                   200    4      OK       
POST    /tenant-catalog/pack-configs                   200    5      OK       
GET     /retailers                                     200    6      OK       
POST    /retailers                                     200    5      OK       
GET     /retailers/{id}                                200    5      OK       
POST    /retailers/{id}/credit                         200    5      OK       
POST    /retailers/{id}/link                           -      0      SKIPPED  destructive, needs --destructive (would invite a made-up phone into a demo shop 
POST    /retailers/me                                  403    2      EXPECTED the owner role may not call POST /retailers/me
GET     /beats                                         200    5      OK       
POST    /beats                                         200    5      OK       
POST    /beats/{id}/assign                             200    5      OK       
GET     /beats/assignments                             200    7      OK       
POST    /visits                                        200    12     OK       
GET     /visits                                        200    8      OK       
GET     /pricing/price-lists                           200    22     OK       
POST    /pricing/price-lists                           200    6      OK       
POST    /pricing/price-lists/{priceListId}/items       200    7      OK       
GET     /pricing/overrides                             200    7      OK       
POST    /pricing/overrides                             200    7      OK       
GET     /pricing/schemes                               200    6      OK       
POST    /pricing/schemes                               200    3      OK       
POST    /pricing/quote                                 200    28     OK       
POST    /pricing/bargains                              200    17     OK       
GET     /pricing/bargains                              200    4      OK       
POST    /pricing/bargains/{id}/decide                  200    7      OK       
POST    /pricing/bounds                                200    5      OK       
GET     /pricing/bounds                                200    7      OK       
GET     /inventory/locations                           200    4      OK       
POST    /inventory/locations                           200    5      OK       
GET     /inventory/sellable                            200    14     OK       
GET     /inventory/availability                        200    9      OK       
GET     /inventory/balances                            200    8      OK       
POST    /inventory/adjustments                         200    5      OK       
POST    /inventory/transfers                           200    6      OK       
GET     /inventory/ledger                              200    14     OK       
POST    /inventory/lots                                200    6      OK       
POST    /inventory/cycle-counts                        200    10     OK       
GET     /inventory/cycle-counts                        200    4      OK       
POST    /inventory/cycle-counts/{id}/count             200    8      OK       
POST    /inventory/cycle-counts/{id}/post              409    5      EXPECTED cycle count b24cd950-8b2b-7979-b757-948dfe93be0a is open; every line must be cou
GET     /inventory/cycle-counts/{id}                   200    5      OK       
POST    /procurement/supplier-invoices                 200    12     OK       
GET     /procurement/supplier-invoices                 200    8      OK       
GET     /procurement/supplier-invoices/{id}            200    6      OK       
POST    /procurement/supplier-invoices/{id}/lines/{lin 200    5      OK       
POST    /procurement/supplier-invoices/{id}/dispute    200    9      OK       
POST    /procurement/supplier-invoices/{id}/cancel     -      0      SKIPPED  destructive, needs --destructive (matches /cancel|delete|revoke|writeOff|disable
POST    /procurement/grns                              200    13     OK       
GET     /procurement/grns                              200    4      OK       
POST    /procurement/grns/{id}/count                   200    5      OK       
POST    /procurement/grns/{id}/post                    200    5      OK       
GET     /procurement/grns/{id}                         200    6      OK       
GET     /procurement/discrepancies                     200    5      OK       
POST    /procurement/discrepancies/{id}/resolve        200    9      OK       
POST    /procurement/purchase-orders                   200    5      OK       
GET     /procurement/purchase-orders                   200    5      OK       
POST    /orders                                        200    70     OK       
GET     /orders                                        200    6      OK       
POST    /orders/{id}/lines                             200    40     OK       
POST    /orders/repeat-last                            200    51     OK       
POST    /orders/{id}/submit                            200    21     OK       
POST    /orders/{id}/confirm                           409    20     EXPECTED SO-0890 is waiting on 1 decision(s) (bargain); approve or reject each in the app
POST    /orders/{id}/cancel                            -      0      SKIPPED  destructive, needs --destructive (matches /cancel|delete|revoke|writeOff|disable
GET     /orders/last-placed                            200    8      OK       
GET     /orders/{id}                                   200    9      OK       
GET     /approvals                                     200    9      OK       
POST    /approvals/{id}/decide                         200    41     OK       
POST    /receipts                                      200    10     OK       
GET     /receipts                                      200    32     OK       
GET     /receipts/{id}                                 200    7      OK       
GET     /receipts/{id}/document                        200    2      OK       
POST    /receipts/{id}/bounce                          -      0      SKIPPED  destructive, needs --destructive (would return a seeded cheque and book a real b
POST    /receivables/payments/initiate                 403    3      EXPECTED the owner role may not call POST /receivables/payments/initiate
POST    /allocations                                   409    7      EXPECTED bill INV/9011 owes 1700 paise; 4000 was offered
POST    /allocations/{id}/remove                       -      0      SKIPPED  destructive, needs --destructive (would delete a seeded allocation and reopen th
GET     /receivables/outstanding/{retailerId}          200    6      OK       
GET     /receivables/outstanding                       200    4      OK       
GET     /receivables/credit-check                      200    4      OK       
GET     /receivables/ledger/{retailerId}               200    30     OK       
POST    /receivables/statements                        200    6      OK       
POST    /receivables/write-offs                        -      0      SKIPPED  destructive, needs --destructive (matches /cancel|delete|revoke|writeOff|disable
GET     /receivables/cash-discounts                    200    23     OK       
GET     /receivables/accounts                          200    40     OK       
GET     /receivables/journal                           200    5      OK       
POST    /receivables/ageing/rebuild                    200    9      OK       
GET     /receivables/ageing/history                    200    7      OK       
GET     /billing/queue                                 200    7      OK       
POST    /warehouse/packs/{packId}/invoice              400    6      EXPECTED pack 223c021d-74a7-724b-8e82-673db4840647 moved no stock; there is nothing to bi
POST    /invoices/van-sale                             -      0      SKIPPED  no unbilled van-sale order, or no vehicle location
POST    /invoices/brand-dms                            409    5      EXPECTED invoice SO-0042 has been imported before (01a0d0c5-64bb-738b-8df3-e45236ec2815);
POST    /invoices/{id}/cancel                          -      0      SKIPPED  destructive, needs --destructive (matches /cancel|delete|revoke|writeOff|disable
GET     /invoices/{id}                                 200    8      OK       
GET     /invoices                                      200    5      OK       
GET     /invoices/{id}/upi-qr                          200    5      OK       
GET     /invoices/{id}/pdf                             200    4      OK       
POST    /invoices/{id}/eway-bill                       200    10     OK       
POST    /invoices/{id}/irn                             200    6      OK       
POST    /credit-notes                                  400    8      EXPECTED line 01a06d4a-aaee-73cb-8b2a-08ff3ce05549 does not belong to bill INV/9009
GET     /credit-notes                                  200    5      OK       
POST    /credit-notes/{id}/issue                       200    4      OK       
POST    /credit-notes/{id}/cancel                      -      0      SKIPPED  destructive, needs --destructive (matches /cancel|delete|revoke|writeOff|disable
GET     /credit-notes/{id}                             200    7      OK       
GET     /billing/gst-summary                           200    10     OK       
GET     /billing/sales-register                        200    6      OK       
GET     /warehouse/queue                               200    27     OK       
POST    /warehouse/picklists                           200    26     OK       
GET     /warehouse/picklists                           200    7      OK       
GET     /warehouse/picklists/{id}                      200    19     OK       
POST    /warehouse/picklists/{id}/start                200    21     OK       
POST    /warehouse/picklists/{id}/pick                 200    19     OK       
POST    /warehouse/picklists/{id}/cancel               -      0      SKIPPED  destructive, needs --destructive (matches /cancel|delete|revoke|writeOff|disable
POST    /warehouse/orders/{orderId}/pack               400    21     EXPECTED insufficient stock: lot 5d6653c5-59d6-7a51-a0bb-6517b5b505bc at location 01a0baa
GET     /warehouse/packs                               200    11     OK       
GET     /warehouse/packs/{id}                          200    13     OK       
POST    /warehouse/load-sheets                         200    26     OK       
GET     /warehouse/load-sheets                         200    7      OK       
GET     /warehouse/load-sheets/{id}                    200    22     OK       
POST    /warehouse/load-sheets/{id}/approve            200    16     OK       
POST    /warehouse/load-sheets/{id}/confirm            200    42     OK       
POST    /warehouse/load-sheets/{id}/cancel             -      0      SKIPPED  destructive, needs --destructive (matches /cancel|delete|revoke|writeOff|disable
GET     /warehouse/challans                            200    7      OK       
GET     /warehouse/challans/{id}                       200    12     OK       
GET     /warehouse/challans/{id}/pdf                   200    2      OK       
POST    /warehouse/challans/{id}/ewb                   409    5      EXPECTED challan DC-0083 already carries e-way bill 291012345678
GET     /warehouse/reservations                        200    10     OK       
POST    /warehouse/reservations/release                409    10     EXPECTED order SO-0868 is packed; holds are only freed while it is confirmed
POST    /sync/upload                                   200    5      OK       
GET     /sync/errors                                   200    7      OK       
GET     /sync/manifest                                 200    4      OK       
GET     /sync/pull                                     200    42     OK       
POST    /files/upload-url                              200    5      OK       
GET     /files/read-url                                200    4      OK       
GET     /delivery/vehicles                             200    4      OK       
GET     /delivery/vehicle-positions                    200    8      OK       
POST    /delivery/consents                             200    7      OK       
GET     /delivery/consents                             200    2      OK       
GET     /delivery/trips                                200    9      OK       
GET     /delivery/trip-planning                        200    16     OK       
POST    /delivery/trips/{id}/cancel                    -      0      SKIPPED  destructive, needs --destructive (matches /cancel|delete|revoke|writeOff|disable
GET     /delivery/stops                                200    12     OK       
GET     /delivery/collections                          200    8      OK       
GET     /delivery/expenses                             200    8      OK       
GET     /docint/documents                              200    14     OK       
GET     /docint/documents/{id}                         200    11     OK       
GET     /docint/documents/{id}/status                  200    7      OK       
GET     /docint/documents/{id}/page-url                200    6      OK       
GET     /docint/documents/{id}/extractions             200    8      OK       
GET     /docint/extractions/{id}                       200    7      OK       
GET     /docint/extractions/{extractionId}/candidates  200    10     OK       
GET     /docint/queue                                  200    23     OK       
GET     /docint/stats                                  200    12     OK       
POST    /integrations/imports                          200    67     OK       
GET     /integrations/imports                          200    6      OK       
GET     /integrations/imports/{id}                     200    8      OK       
GET     /integrations/imports/{id}/preview             200    7      OK       
POST    /integrations/imports/{id}/mapping             200    12     OK       
POST    /integrations/imports/{id}/dry-run             200    20     OK       
GET     /integrations/imports/{id}/rows                200    7      OK       
POST    /integrations/imports/{id}/rows/{rowId}/review 200    15     OK       
POST    /integrations/imports/{id}/commit              200    105    OK       
POST    /integrations/imports/{id}/confirm             200    7      OK       
POST    /integrations/imports/{id}/rollback            409    5      EXPECTED the import is confirmed; it cannot be rolled back now
POST    /integrations/imports/{id}/cancel              -      0      SKIPPED  destructive, needs --destructive (matches /cancel|delete|revoke|writeOff|disable
GET     /integrations/import-profiles                  200    4      OK       
POST    /integrations/import-profiles                  200    4      OK       
POST    /integrations/exports                          200    7      OK       
GET     /integrations/exports                          200    4      OK       
GET     /integrations/exports/{id}                     200    3      OK       
GET     /integrations/exports/{id}/download-url        200    4      OK       
GET     /integrations/tally/mappings                   200    7      OK       
POST    /integrations/tally/mappings                   200    4      OK       
GET     /integrations/tally/sync-ledger                200    5      OK       
GET     /claims/policies                               200    6      OK       
POST    /claims/policies                               200    5      OK       
GET     /claims/periods                                200    1421   OK       
GET     /claims/ageing                                 200    7      OK       
GET     /claims/register                               200    6      OK       
GET     /claims/reconcile                              200    4      OK       
POST    /claims                                        200    15     OK       
GET     /claims                                        200    6      OK       
