$ tsx tools/smoke-endpoints.mts --base http://127.0.0.1:3100 --run-tag whrules-1
smoke: 8 service(s), tenant 01a0999a-28c3-7341-93f5-e0e84b0189a1, database dos_test_b2_warehouse_rules
       destructive procedures are skipped (pass --destructive to include them)

── auth-service ────────────────────────────────────────────────────────────────────────────────────────────
METHOD  PATH                                           STATUS MS     CLASS    MESSAGE
POST    /auth/login                                    200    37     OK       
POST    /auth/platform/login                           200    43     OK       
POST    /auth/refresh                                  200    8      OK       
POST    /auth/platform/refresh                         200    7      OK       
POST    /auth/switch-tenant                            200    8      OK       
GET     /auth/me                                       200    7      OK       
GET     /auth/sessions                                 200    4      OK       
GET     /health/ping                                   200    3      OK       
GET     /auth/platform/me                              403    2      EXPECTED this endpoint belongs to the Distribution OS console; sign in at POST /auth/plat
POST    /auth/platform/support-pass                    403    3      EXPECTED this endpoint belongs to the Distribution OS console; sign in at POST /auth/plat
POST    /auth/forgot-password                          200    7      OK       
POST    /auth/reset-password                           400    3      EXPECTED token is not a password reset token
GET     /.well-known/jwks.json                         200    2      OK       
POST    /auth/sessions/revoke                          -      0      SKIPPED  destructive, needs --destructive (matches /cancel|delete|revoke|writeOff|disable
POST    /auth/logout                                   200    4      OK       
POST    /auth/change-password                          -      0      SKIPPED  destructive, needs --destructive (would change the demo password every other too
   auth: 11 OK · 3 expected · 0 BROKEN · 2 skipped  (of 16)

── owner-service ───────────────────────────────────────────────────────────────────────────────────────────
METHOD  PATH                                           STATUS MS     CLASS    MESSAGE
POST    /delivery/vehicles                             200    39     OK       
POST    /docint/documents                              200    11     OK       
POST    /delivery/trips                                200    37     OK       
POST    /docint/documents/{id}/pages/upload-urls       200    6      OK       
POST    /delivery/trips/{id}/stops/reorder             200    23     OK       
POST    /docint/documents/{id}/pages                   200    14     OK       
POST    /delivery/trips/{id}/start-loading             200    15     OK       
POST    /docint/documents/{id}/qr                      200    17     OK       
POST    /delivery/trips/{id}/depart                    200    24     OK       
POST    /docint/documents/{id}/submit                  200    72     OK       
POST    /delivery/trips/{id}/stops                     200    21     OK       
POST    /delivery/stops/{id}/start                     -      0      SKIPPED  no open stop with a bill on the throwaway trip
POST    /delivery/stops/{id}/arrive                    -      0      SKIPPED  no open stop with a bill on the throwaway trip
POST    /delivery/deliveries                           -      0      SKIPPED  no planned bill on the throwaway trip (no packed bill was free to ride on it)
POST    /delivery/deliveries/{id}/pod                  200    22     OK       
POST    /delivery/collections                          200    71     OK       
POST    /docint/extractions/{id}/matches/reject        200    15     OK       
POST    /delivery/van-sales                            200    323    OK       
POST    /docint/extractions/{id}/matches/accept        200    33     OK       
POST    /delivery/expenses                             200    13     OK       
POST    /docint/extractions/{id}/matches/choose        200    25     OK       
POST    /gps/points                                    200    7      OK       
POST    /docint/extractions/{id}/rematch               200    32     OK       
POST    /delivery/stops/{id}/fail                      200    25     OK       
POST    /docint/documents/{id}/extract                 200    91     OK       
POST    /docint/documents/{id}/review                  200    62     OK       
POST    /docint/review-sessions/{id}/heartbeat         200    10     OK       
POST    /docint/review-sessions/{id}                   200    32     OK       
POST    /docint/review-sessions/{id}/submit            200    32     OK       
POST    /docint/review-sessions/{id}/release           200    27     OK       
POST    /delivery/trips/{id}/return                    200    43     OK       
POST    /docint/documents/{id}/approve                 200    38     OK       
GET     /delivery/trips/{id}/settlement                200    10     OK       
POST    /delivery/trips/{tripId}/settle                200    35     OK       
GET     /delivery/trips/{id}/trace                     200    9      OK       
GET     /delivery/trips/{id}                           200    15     OK       
GET     /delivery/trips/{id}/next-stop                 200    3      OK       
GET     /delivery/deliveries                           200    13     OK       
GET     /delivery/deliveries/{id}                      200    20     OK       
GET     /health/ping                                   200    2      OK       
GET     /tenancy/me                                    200    6      OK       
GET     /tenancy/staff                                 200    9      OK       
POST    /tenancy/staff                                 200    42     OK       
POST    /tenancy/staff/update                          200    15     OK       
POST    /tenancy/staff/set-password                    -      0      SKIPPED  destructive, needs --destructive (would change a demo user password)
POST    /tenancy/staff/set-status                      -      0      SKIPPED  destructive, needs --destructive (would disable a demo user)
GET     /tenancy/branding                              200    5      OK       
GET     /tenancy/settings                              200    6      OK       
POST    /tenancy/settings                              200    9      OK       
GET     /tenancy/numbering-series                      200    5      OK       
POST    /tenancy/numbering-series                      200    8      OK       
GET     /tenancy/feature-flags                         200    4      OK       
POST    /tenancy/feature-flags                         200    7      OK       
POST    /tenancy/tenant                                200    8      OK       
GET     /tenancy/audit                                 200    7      OK       
GET     /tenancy/support-grants                        200    8      OK       
POST    /tenancy/support-grants/{id}/approve           -      0      SKIPPED  no support request is waiting for the owner to answer
POST    /tenancy/support-grants/{id}/revoke            -      0      SKIPPED  destructive, needs --destructive (matches /cancel|delete|revoke|writeOff|disable
GET     /catalog/variants                              200    11     OK       
GET     /catalog/manufacturers                         200    6      OK       
POST    /catalog/proposals                             200    11     OK       
GET     /tenant-catalog/products                       200    8      OK       
POST    /tenant-catalog/products                       200    11     OK       
GET     /tenant-catalog/suppliers                      200    4      OK       
POST    /tenant-catalog/suppliers                      200    8      OK       
GET     /tenant-catalog/costs                          200    7      OK       
POST    /tenant-catalog/costs                          200    6      OK       
GET     /tenant-catalog/rep-authorisations             200    9      OK       
POST    /tenant-catalog/rep-authorisations             200    25     OK       
GET     /tenant-catalog/brands                         200    7      OK       
POST    /tenant-catalog/brands                         200    9      OK       
GET     /tenant-catalog/pack-configs                   200    5      OK       
POST    /tenant-catalog/pack-configs                   200    6      OK       
GET     /retailers                                     200    7      OK       
POST    /retailers                                     200    18     OK       
GET     /retailers/{id}                                200    4      OK       
POST    /retailers/{id}/credit                         200    10     OK       
POST    /retailers/{id}/link                           -      0      SKIPPED  destructive, needs --destructive (would invite a made-up phone into a demo shop 
POST    /retailers/me                                  403    3      EXPECTED the owner role may not call POST /retailers/me
GET     /beats                                         200    3      OK       
POST    /beats                                         200    6      OK       
POST    /beats/{id}/assign                             200    7      OK       
GET     /beats/assignments                             200    6      OK       
POST    /visits                                        200    10     OK       
GET     /visits                                        200    7      OK       
GET     /pricing/price-lists                           200    38     OK       
POST    /pricing/price-lists                           200    9      OK       
POST    /pricing/price-lists/{priceListId}/items       200    16     OK       
GET     /pricing/overrides                             200    6      OK       
POST    /pricing/overrides                             200    8      OK       
GET     /pricing/schemes                               200    7      OK       
POST    /pricing/schemes                               200    10     OK       
POST    /pricing/quote                                 200    25     OK       
POST    /pricing/bargains                              200    16     OK       
GET     /pricing/bargains                              200    5      OK       
POST    /pricing/bargains/{id}/decide                  200    8      OK       
POST    /pricing/bounds                                200    9      OK       
GET     /pricing/bounds                                200    4      OK       
GET     /inventory/locations                           200    5      OK       
POST    /inventory/locations                           200    6      OK       
GET     /inventory/sellable                            200    60     OK       
GET     /inventory/availability                        200    8      OK       
GET     /inventory/balances                            200    19     OK       
POST    /inventory/adjustments                         200    9      OK       
POST    /inventory/transfers                           200    10     OK       
GET     /inventory/ledger                              200    5      OK       
POST    /inventory/lots                                200    9      OK       
POST    /inventory/cycle-counts                        200    13     OK       
GET     /inventory/cycle-counts                        200    4      OK       
POST    /inventory/cycle-counts/{id}/count             200    7      OK       
POST    /inventory/cycle-counts/{id}/post              409    5      EXPECTED cycle count b24cd950-8b2b-7979-b757-948dfe93be0a is open; every line must be cou
GET     /inventory/cycle-counts/{id}                   200    4      OK       
POST    /procurement/supplier-invoices                 200    10     OK       
GET     /procurement/supplier-invoices                 200    6      OK       
GET     /procurement/supplier-invoices/{id}            200    7      OK       
POST    /procurement/supplier-invoices/{id}/lines/{lin 200    14     OK       
POST    /procurement/supplier-invoices/{id}/dispute    409    8      EXPECTED supplier invoice GOD/26-27/00612 is received; only an extracted, in-review or ap
POST    /procurement/supplier-invoices/{id}/cancel     -      0      SKIPPED  destructive, needs --destructive (matches /cancel|delete|revoke|writeOff|disable
POST    /procurement/grns                              200    17     OK       
GET     /procurement/grns                              200    7      OK       
POST    /procurement/grns/{id}/count                   200    15     OK       
POST    /procurement/grns/{id}/post                    200    9      OK       
GET     /procurement/grns/{id}                         200    6      OK       
GET     /procurement/discrepancies                     200    4      OK       
POST    /procurement/discrepancies/{id}/resolve        200    7      OK       
POST    /procurement/purchase-orders                   200    8      OK       
GET     /procurement/purchase-orders                   200    4      OK       
POST    /orders                                        200    57     OK       
GET     /orders                                        200    8      OK       
POST    /orders/{id}/lines                             200    33     OK       
POST    /orders/repeat-last                            200    32     OK       
POST    /orders/{id}/submit                            200    24     OK       
POST    /orders/{id}/confirm                           409    6      EXPECTED SO-0880 is waiting on 1 decision(s) (credit limit); approve or reject each in th
POST    /orders/{id}/cancel                            -      0      SKIPPED  destructive, needs --destructive (matches /cancel|delete|revoke|writeOff|disable
GET     /orders/last-placed                            200    11     OK       
GET     /orders/{id}                                   200    10     OK       
GET     /approvals                                     200    8      OK       
POST    /approvals/{id}/decide                         200    33     OK       
POST    /receipts                                      200    35     OK       
GET     /receipts                                      200    40     OK       
GET     /receipts/{id}                                 200    12     OK       
GET     /receipts/{id}/document                        200    7      OK       
POST    /receipts/{id}/bounce                          -      0      SKIPPED  destructive, needs --destructive (would return a seeded cheque and book a real b
POST    /receivables/payments/initiate                 403    2      EXPECTED the owner role may not call POST /receivables/payments/initiate
POST    /allocations                                   409    8      EXPECTED bill OPEN/0004 belongs to another shop
