 GET   /health/ping  | public 
 GET   /tenancy/me  | ALL 
 GET   /tenancy/staff  | owner, manager, accountant 
 POST   /tenancy/staff  | owner, manager 
 POST   /tenancy/staff/update  | owner, manager 
 POST   /tenancy/staff/set-password  | owner, manager 
 POST   /tenancy/staff/set-status  | owner, manager 
 GET   /tenancy/branding  | ALL 
 GET   /tenancy/settings  | owner, manager, accountant, salesperson, warehouse, delivery 
 POST   /tenancy/settings  | owner 
 GET   /tenancy/numbering-series  | owner 
 POST   /tenancy/numbering-series  | owner 
 GET   /tenancy/feature-flags  | ALL 
 POST   /tenancy/feature-flags  | owner 
 POST   /tenancy/tenant  | owner 
 GET   /tenancy/audit  | owner, manager, accountant 
 GET   /tenancy/support-grants  | owner 
 POST   /tenancy/support-grants/{id}/approve  | owner 
 POST   /tenancy/support-grants/{id}/revoke  | owner 
 GET   /catalog/variants  | ALL 
 GET   /catalog/manufacturers  | ALL 
 POST   /catalog/proposals  | owner, manager, accountant, salesperson, warehouse, delivery 
 GET   /tenant-catalog/products  | ALL 
 POST   /tenant-catalog/products  | owner, manager 
 GET   /tenant-catalog/suppliers  | owner, manager, accountant, salesperson, warehouse, delivery 
 POST   /tenant-catalog/suppliers  | owner, manager 
 GET   /tenant-catalog/costs  | owner, manager, accountant 
 POST   /tenant-catalog/costs  | owner, manager 
 GET   /tenant-catalog/rep-authorisations  | owner, manager, accountant, salesperson, warehouse, delivery 
 POST   /tenant-catalog/rep-authorisations  | owner, manager 
 GET   /tenant-catalog/brands  | owner, manager, accountant, salesperson, warehouse, delivery 
 POST   /tenant-catalog/brands  | owner, manager 
 GET   /tenant-catalog/pack-configs  | owner, manager, accountant, warehouse 
 POST   /tenant-catalog/pack-configs  | owner, manager 
 GET   /retailers  | ALL 
 GET   /retailers/{id}  | ALL 
 POST   /retailers  | owner, manager, accountant, salesperson, warehouse, delivery 
 POST   /retailers/{id}/credit  | owner, manager 
 POST   /retailers/{id}/link  | owner, manager 
 POST   /retailers/me  | retailer 
 GET   /beats  | owner, manager, accountant, salesperson, warehouse, delivery 
 POST   /beats  | owner, manager 
